SAV,APSKRITIS,16EK,16SO_EK,16SO,16SO_AP,16AP,16EK_AP,16VID,26EK,26SO_EK,26SO,26SO_AP,26AP,26EK_AP,26VID,NL16,NL16SR,NL16RI,IBD16,IBD16SR,IBD16RI,LLS16,LLS16SR,LLS16RI,MPM16,MPM16SR,MPM16RI,EIS16,EIS16SR,EIS16RI,VTP16,VTP16SR,VTP16RI,KGP16,KGP16SR,KGP16RI,OUP16,OUP16SR,OUP16RI,GVT16,GVT16SR,GVT16RI,NZP16,NZP16SR,NZP16RI,VTD16,VTD16SR,VTD16RI,OIT16,OIT16SR,OIT16RI,VBN16,VBN16SR,VBN16RI,CTS16,CTS16SR,CTS16RI,NDU16,NDU16SR,NDU16RI,TUI16,TUI16SR,TUI16RI,MIG16,MIG16SR,MIG16RI,PVG16,PVG16SR,PVG16RI,UGD16,UGD16SR,UGD16RI,NM16,NM16SR,NM16RI,SLD16,SLD16SR,SLD16RI,DAG16,DAG16SR,DAG16RI,PAG16,PAG16SR,PAG16RI,USS16,USS16SR,USS16RI,GSM16,GSM16SR,GSM16RI,GSK16,GSK16SR,GSK16RI,KGD16,KGD16SR,KGD16RI,KPD16,KPD16SR,KPD16RI,M16,M16SR,M16RI,ZNP16,ZNP16SR,ZNP16RI,RIP16,RIP16SR,RIP16RI,STP16,STP16SR,STP16RI,KPO16,KPO16SR,KPO16RI,NII16,NII16SR,NII16SI,INI16,INI16SR,INI16RI,PVI16,PVI16SR,PVI16RI,KNI16,KNI16SR,KNI16RI,NG16,NG16SR,NG16RI,PVA16,PVA16SR,PVA16RI,MMA16,MMA16SR,MMA16RI,EDD16,EDD16SR,EDD16RI
Alytaus m. sav.,Alytaus,1.80,2.38,2.08,2.40,2.10,2.00,2.13,1.60,2.23,1.92,2.20,2.10,2.25,2.05,10.30,4.80,2.00,39.60,3.60,2.00,16.20,4.50,2.00,13.40,7.10,3.00,2.88,2.40,1.00,88.70,10.00,3.00,0.00,0.00,1.00,0.04,7.70,3.00,98.00,9.80,3.00,49.00,3.50,2.00,0.00,0.00,1.00,502.23,7.70,3.00,99.00,9.90,3.00,36.00,6.20,2.00,545.00,4.00,2.00,1.50,2.40,1.00,1.10,2.60,1.00,4.60,4.40,2.00,50.20,8.30,3.00,-0.03,0.60,1.00,4.60,3.40,2.00,63.00,5.50,2.00,23.00,5.70,2.00,5.10,6.40,2.00,-23.86,2.70,1.00,,,,,,,75.00,10.00,3.00,33.00,4.60,2.00,15.00,1.90,1.00,4.36,1.40,1.00,10.00,7.10,3.00,31.50,10.00,3.00,0.00,0.00,1.00,,,,14.30,2.00,1.00,0.00,0.00,1.00,,,,0.00,0.00,1.00,78.50,8.10,3.00,,,
Alytaus r. sav.,Alytaus,1.20,1.50,1.93,1.50,1.80,2.33,1.71,1.50,1.50,1.87,1.25,1.60,2.00,1.62,13.10,2.20,1.00,49.10,2.00,1.00,85.60,7.60,3.00,19.10,7.20,3.00,0.78,8.20,3.00,39.70,6.20,2.00,0.00,0.00,1.00,0.04,7.70,3.00,27.00,1.50,1.00,45.00,2.90,1.00,56.00,5.60,2.00,269.46,8.90,3.00,15.00,0.40,1.00,,,,502.00,2.20,1.00,1.00,1.60,1.00,0.70,1.30,1.00,1.50,0.50,1.00,42.50,5.10,2.00,0.00,6.20,2.00,6.30,5.90,2.00,59.00,1.80,1.00,27.00,2.90,1.00,2.70,1.60,1.00,-28.21,1.30,1.00,-16.00,3.40,2.00,6.48,8.00,3.00,34.00,3.80,2.00,25.00,3.40,2.00,57.00,7.30,3.00,5.53,3.20,1.00,12.00,7.80,3.00,5.90,2.80,1.00,21.00,1.00,1.00,,,,14.30,2.00,1.00,202.00,2.30,1.00,,,,8.50,6.50,2.00,72.70,4.40,2.00,1.80,5.60,2.00
Druskininkų sav.,Alytaus,1.70,2.00,2.27,2.60,2.25,2.25,2.18,2.20,2.23,2.33,2.40,2.17,2.50,2.31,9.90,5.20,2.00,38.70,3.80,2.00,83.80,7.80,3.00,13.00,6.70,3.00,0.40,9.20,3.00,30.60,4.40,2.00,0.00,0.00,1.00,0.07,6.10,2.00,86.00,8.40,3.00,81.00,7.70,3.00,45.00,4.50,2.00,452.43,8.00,3.00,82.00,8.00,3.00,32.00,5.50,2.00,497.00,2.00,1.00,1.90,3.00,1.00,1.10,2.60,1.00,4.10,3.80,2.00,47.10,7.00,3.00,-0.01,3.80,2.00,6.10,5.60,2.00,61.00,3.60,2.00,26.00,3.60,2.00,5.20,6.60,2.00,-27.46,1.50,1.00,-0.50,6.20,2.00,10.94,6.60,2.00,35.00,4.00,2.00,69.00,10.00,3.00,18.00,2.30,1.00,7.92,6.70,3.00,7.00,6.10,2.00,5.90,2.80,1.00,5.00,0.20,1.00,,,,26.10,3.80,2.00,44.00,0.50,1.00,,,,4.00,3.10,1.00,75.80,6.40,2.00,2.30,4.20,2.00
Lazdijų r. sav.,Alytaus,1.00,1.15,1.93,1.60,2.00,1.75,1.57,1.30,1.23,2.70,1.60,1.92,1.50,1.60,15.00,0.40,1.00,60.20,0.00,1.00,54.50,8.90,3.00,15.60,9.30,3.00,0.84,8.00,3.00,25.60,3.40,2.00,5.00,1.20,1.00,0.07,5.90,2.00,14.00,0.00,1.00,58.00,4.70,2.00,69.00,6.90,3.00,130.73,9.60,3.00,11.00,0.00,1.00,6.00,0.70,1.00,456.40,0.20,1.00,0.00,0.00,1.00,0.40,0.30,1.00,1.10,0.00,1.00,41.10,4.50,2.00,-0.02,2.80,1.00,5.10,4.10,2.00,59.00,1.80,1.00,27.00,2.90,1.00,2.40,1.00,1.00,-20.89,3.70,2.00,-26.00,1.60,1.00,11.47,6.50,2.00,29.00,2.70,1.00,36.00,5.10,2.00,46.00,5.90,2.00,7.69,6.40,2.00,24.00,8.00,3.00,4.80,1.90,1.00,11.00,0.50,1.00,,,,1.00,0.00,1.00,105.00,1.20,1.00,,,,0.00,0.00,1.00,68.00,1.50,1.00,0.90,8.10,3.00
Varėnos r. sav.,Alytaus,1.30,1.69,2.13,2.00,2.17,1.50,1.80,1.40,1.69,2.13,2.00,2.17,1.50,1.82,10.00,5.10,2.00,27.80,5.70,2.00,60.70,9.60,3.00,19.40,6.90,3.00,1.23,6.90,3.00,23.20,3.00,1.00,19.00,4.50,2.00,0.05,7.50,3.00,83.00,8.00,3.00,79.00,7.50,3.00,76.00,7.60,3.00,424.79,8.10,3.00,65.00,6.10,2.00,20.00,3.30,1.00,495.70,1.90,1.00,0.10,0.20,1.00,0.60,1.00,1.00,1.90,1.00,1.00,40.00,4.00,2.00,-0.02,3.20,1.00,4.40,3.10,1.00,59.00,1.80,1.00,28.00,2.10,1.00,2.90,2.00,1.00,-19.07,4.30,2.00,-29.90,0.90,1.00,13.98,5.70,2.00,30.00,2.90,1.00,69.00,10.00,3.00,21.00,2.70,1.00,5.69,3.40,2.00,35.00,4.20,2.00,4.00,1.30,1.00,219.00,10.00,3.00,,,,12.60,1.70,1.00,103.00,1.20,1.00,,,,2.90,2.20,1.00,71.90,3.90,2.00,0.90,8.10,3.00
Birštono sav.,Kauno,1.50,1.92,2.80,2.00,2.90,2.25,1.97,1.90,2.00,2.23,2.00,2.27,2.75,2.19,5.60,9.20,3.00,57.00,0.60,1.00,,,,12.60,6.30,2.00,0.12,10.00,3.00,48.20,7.80,3.00,0.00,0.00,1.00,0.04,8.10,3.00,68.00,6.30,2.00,62.00,5.20,2.00,0.00,0.00,1.00,90.56,9.80,3.00,63.00,5.80,2.00,22.00,3.60,2.00,496.00,1.90,1.00,0.10,0.20,1.00,1.60,4.20,2.00,2.60,1.90,1.00,39.30,3.80,2.00,-0.02,3.00,1.00,12.50,10.00,3.00,60.00,2.70,1.00,27.00,2.90,1.00,4.10,4.40,2.00,-23.75,2.70,1.00,-15.00,3.60,2.00,12.24,6.20,2.00,46.00,6.40,2.00,47.00,6.70,3.00,36.00,4.60,2.00,7.26,5.80,2.00,82.00,0.00,1.00,9.20,5.40,2.00,0.00,0.00,1.00,,,,12.00,1.70,1.00,2.00,0.00,1.00,,,,0.90,0.70,1.00,73.60,5.00,2.00,6.60,0.00,1.00
Jonavos r. sav.,Kauno,1.90,2.15,1.93,2.00,1.67,2.25,1.98,1.70,2.15,1.93,2.00,1.58,2.00,1.90,9.40,5.70,2.00,30.80,5.20,2.00,41.80,7.40,3.00,15.00,8.70,3.00,1.00,7.60,3.00,32.90,4.90,2.00,9.00,2.10,1.00,0.05,7.10,3.00,88.00,8.60,3.00,52.00,3.90,2.00,28.00,2.80,1.00,3002.81,0.00,1.00,82.00,8.00,3.00,32.00,5.50,2.00,605.00,6.60,2.00,0.20,0.30,1.00,1.60,4.20,2.00,5.40,5.40,2.00,42.10,4.90,2.00,-0.01,4.30,2.00,4.90,3.80,2.00,61.00,3.60,2.00,22.00,6.40,2.00,3.00,2.20,1.00,-18.27,4.60,2.00,-16.00,3.40,2.00,23.05,2.90,1.00,31.00,3.10,1.00,42.00,6.00,2.00,46.00,5.90,2.00,3.85,0.70,1.00,4.00,5.00,2.00,5.50,2.50,1.00,112.00,5.10,2.00,,,,27.80,4.00,2.00,1039.00,10.00,3.00,,,,4.80,3.70,2.00,78.00,7.80,3.00,1.50,6.40,2.00
Kaišiadorių r. sav.,Kauno,1.70,2.15,2.13,2.20,1.75,2.00,1.99,1.60,1.92,1.87,2.00,1.50,1.50,1.73,7.00,7.90,3.00,41.10,3.40,2.00,42.50,7.50,3.00,15.20,8.90,3.00,1.25,6.90,3.00,14.60,1.30,1.00,30.00,7.10,3.00,0.02,9.20,3.00,95.00,9.40,3.00,49.00,3.50,2.00,24.00,2.40,1.00,489.32,7.80,3.00,82.00,8.00,3.00,16.00,2.50,1.00,533.00,3.50,2.00,0.10,0.20,1.00,0.80,1.60,1.00,2.40,1.60,1.00,48.00,7.40,3.00,-0.01,3.80,2.00,4.60,3.40,2.00,64.00,6.40,2.00,22.00,6.40,2.00,2.90,2.00,1.00,-17.70,4.80,2.00,-16.00,3.40,2.00,19.64,4.00,2.00,32.00,3.30,2.00,33.00,4.60,2.00,52.00,6.70,3.00,4.49,1.60,1.00,14.00,8.50,3.00,5.70,2.60,1.00,51.00,2.30,1.00,,,,26.80,3.90,2.00,104.00,1.20,1.00,,,,3.70,2.80,1.00,74.90,5.80,2.00,2.60,3.30,2.00
Kauno m. sav.,Kauno,2.60,2.92,2.00,2.60,2.09,2.75,2.49,2.50,2.92,2.00,2.60,2.18,3.00,2.53,6.70,8.20,3.00,21.60,6.80,3.00,152.00,0.00,1.00,11.90,5.60,2.00,1.74,5.50,2.00,92.40,10.00,3.00,98.00,10.00,3.00,0.01,9.60,3.00,92.00,9.10,3.00,40.00,2.30,1.00,10.00,1.00,1.00,5369.12,0.00,1.00,89.00,8.80,3.00,40.00,6.90,3.00,607.00,6.70,3.00,4.00,6.30,2.00,2.10,5.80,2.00,7.40,8.00,3.00,50.60,8.50,3.00,-0.01,3.40,2.00,9.10,10.00,3.00,61.00,3.60,2.00,24.00,5.00,2.00,7.50,10.00,3.00,-21.40,3.50,2.00,,,,,,,62.00,10.00,3.00,18.00,2.40,1.00,13.00,1.70,1.00,7.22,5.70,2.00,13.00,8.10,3.00,189.50,10.00,3.00,0.00,0.00,1.00,,,,301.70,10.00,3.00,0.00,0.00,1.00,,,,61.00,10.00,3.00,77.00,7.10,3.00,,,
Kauno r. sav.,Kauno,2.20,2.31,2.40,2.00,1.92,2.50,2.22,2.30,2.31,2.27,1.80,1.83,2.50,2.17,6.30,8.60,3.00,23.80,6.40,2.00,17.80,4.70,2.00,13.50,7.20,3.00,0.90,7.80,3.00,42.10,6.70,2.00,18.00,4.30,2.00,0.01,9.60,3.00,62.00,5.60,2.00,45.00,2.90,1.00,15.00,1.50,1.00,452.68,8.00,3.00,52.00,4.60,2.00,2.00,0.00,1.00,568.00,5.00,2.00,1.50,2.40,1.00,1.80,4.80,2.00,4.00,3.70,2.00,45.50,6.30,2.00,0.02,10.00,3.00,16.90,10.00,3.00,64.00,6.40,2.00,19.00,8.60,3.00,4.40,5.00,2.00,-25.95,2.00,1.00,20.60,10.00,3.00,7.34,7.70,3.00,40.00,5.10,2.00,33.00,4.60,2.00,51.00,6.50,2.00,6.20,4.20,2.00,15.00,8.80,3.00,5.10,2.20,1.00,146.00,6.70,3.00,,,,16.50,2.30,1.00,1219.00,10.00,3.00,,,,2.70,2.10,1.00,76.40,6.80,3.00,2.10,4.70,2.00
Kėdainių r. sav.,Kauno,1.80,1.92,1.86,1.80,1.64,2.00,1.84,2.00,2.00,1.79,1.80,1.64,2.00,1.87,7.50,7.50,3.00,23.00,6.50,2.00,52.60,8.70,3.00,14.90,8.60,3.00,0.72,8.30,3.00,31.30,4.50,2.00,12.00,2.90,1.00,0.03,8.50,3.00,73.00,6.90,3.00,33.00,1.30,1.00,0.00,0.00,1.00,2035.44,0.10,1.00,65.00,6.10,2.00,23.00,3.80,2.00,604.00,6.50,2.00,2.90,4.60,2.00,1.50,3.90,2.00,5.70,5.80,2.00,44.00,5.70,2.00,-0.02,2.60,1.00,5.00,4.00,2.00,60.00,2.70,1.00,25.00,4.30,2.00,3.70,3.60,2.00,-22.22,3.30,1.00,-28.00,1.30,1.00,32.36,0.10,1.00,34.00,3.80,2.00,25.00,3.40,2.00,65.00,8.30,3.00,3.86,0.70,1.00,11.00,7.40,3.00,7.30,3.90,2.00,15.00,0.70,1.00,,,,38.70,5.60,2.00,53.00,0.60,1.00,,,,6.20,4.80,2.00,68.50,1.80,1.00,0.50,9.20,3.00
Prienų r. sav.,Kauno,1.50,1.69,2.27,1.60,1.67,1.75,1.75,1.30,1.46,2.07,1.60,1.58,1.50,1.59,6.80,8.10,3.00,32.00,5.00,2.00,53.10,8.70,3.00,17.00,9.30,3.00,0.77,8.20,3.00,35.60,5.40,2.00,8.00,1.90,1.00,0.03,8.50,3.00,46.00,3.70,2.00,41.00,2.40,1.00,36.00,3.60,2.00,128.14,9.60,3.00,33.00,2.50,1.00,9.00,1.30,1.00,478.00,1.20,1.00,0.00,0.00,1.00,0.50,0.60,1.00,1.90,1.00,1.00,42.30,5.00,2.00,-0.01,4.00,2.00,4.40,3.10,1.00,60.00,2.70,1.00,26.00,3.60,2.00,2.80,1.80,1.00,-20.15,3.90,2.00,-24.00,2.00,1.00,11.60,6.40,2.00,26.00,2.00,1.00,28.00,3.90,2.00,58.00,7.40,3.00,4.50,1.60,1.00,15.00,8.80,3.00,5.70,2.60,1.00,29.00,1.30,1.00,,,,9.70,1.30,1.00,329.00,3.70,2.00,,,,1.40,1.10,1.00,71.30,3.60,2.00,2.30,4.20,2.00
Raseinių r. sav.,Kauno,1.20,1.54,1.87,1.80,1.42,1.50,1.55,1.50,1.54,1.73,1.60,1.33,1.50,1.53,9.00,6.00,2.00,25.60,6.10,2.00,54.40,8.90,3.00,14.90,8.60,3.00,1.86,5.20,2.00,28.10,3.90,2.00,0.00,0.00,1.00,0.04,7.80,3.00,68.00,6.30,2.00,33.00,1.30,1.00,58.00,5.80,2.00,279.69,8.80,3.00,45.00,3.80,2.00,9.00,1.30,1.00,491.00,1.70,1.00,0.70,1.10,1.00,0.90,1.90,1.00,2.90,2.30,1.00,43.70,5.60,2.00,-0.02,3.20,1.00,4.40,3.10,1.00,60.00,2.70,1.00,25.00,4.30,2.00,3.00,2.20,1.00,-16.92,5.00,2.00,-25.00,1.80,1.00,19.61,4.00,2.00,31.00,3.10,1.00,24.00,3.30,1.00,67.00,8.60,3.00,4.20,1.20,1.00,11.00,7.40,3.00,4.40,1.60,1.00,15.00,0.70,1.00,,,,11.80,1.60,1.00,75.00,0.90,1.00,,,,2.90,2.20,1.00,68.40,1.80,1.00,3.20,1.70,1.00
Klaipėdos m. sav.,Klaipėdos,2.70,2.77,1.93,2.60,1.73,1.75,2.25,2.60,2.85,1.93,2.40,1.82,2.25,2.31,6.40,8.50,3.00,12.80,8.30,3.00,170.00,0.00,1.00,11.00,4.60,2.00,1.50,6.20,2.00,84.10,10.00,3.00,93.00,10.00,3.00,0.02,9.20,3.00,91.00,9.00,3.00,55.00,4.30,2.00,33.00,3.30,1.00,2959.69,0.00,1.00,87.00,8.50,3.00,31.00,5.30,2.00,633.60,7.80,3.00,5.50,8.70,3.00,3.40,10.00,3.00,9.00,10.00,3.00,49.80,8.10,3.00,-0.02,2.60,1.00,3.80,2.20,1.00,61.00,3.60,2.00,22.00,6.40,2.00,6.90,10.00,3.00,-20.02,4.00,2.00,,,,,,,84.00,10.00,3.00,20.00,2.70,1.00,18.00,2.30,1.00,8.06,6.90,3.00,10.00,7.10,3.00,88.60,10.00,3.00,0.00,0.00,1.00,,,,124.10,10.00,3.00,0.00,0.00,1.00,,,,28.80,10.00,3.00,78.00,7.80,3.00,,,
Klaipėdos r. sav.,Klaipėdos,2.40,2.38,2.40,2.60,2.25,2.75,2.46,2.60,2.46,2.53,2.60,2.25,2.75,2.53,6.00,8.90,3.00,3.30,10.00,3.00,29.10,6.00,2.00,12.40,6.10,2.00,1.40,6.50,2.00,37.60,5.80,2.00,11.00,2.60,1.00,0.03,8.90,3.00,91.00,9.00,3.00,47.00,3.20,1.00,70.00,7.00,3.00,1189.26,4.30,2.00,87.00,8.50,3.00,31.00,5.30,2.00,555.00,4.40,2.00,3.50,5.60,2.00,4.60,10.00,3.00,5.10,5.10,2.00,46.00,6.50,2.00,0.02,10.00,3.00,22.70,10.00,3.00,64.00,6.40,2.00,18.00,9.30,3.00,4.60,5.40,2.00,-4.89,9.00,3.00,27.60,10.00,3.00,4.03,8.80,3.00,37.00,4.40,2.00,26.00,3.60,2.00,52.00,6.70,3.00,8.84,8.10,3.00,20.00,9.40,3.00,10.90,6.80,3.00,105.00,4.80,2.00,14.50,10.00,3.00,15.10,2.10,1.00,1068.00,10.00,3.00,28.00,10.00,3.00,4.30,3.30,1.00,76.20,6.60,2.00,1.50,6.40,2.00
Kretingos r. sav.,Klaipėdos,1.80,1.92,2.33,1.50,2.00,2.67,2.04,1.70,1.75,2.20,1.50,1.80,2.00,1.83,4.90,9.90,3.00,12.80,8.30,3.00,50.60,8.40,3.00,13.30,7.00,3.00,1.10,7.30,3.00,34.20,5.10,2.00,17.00,4.00,2.00,0.01,9.70,3.00,27.00,1.50,1.00,44.00,2.80,1.00,57.00,5.70,2.00,130.04,9.60,3.00,23.00,1.30,1.00,,,,489.00,1.60,1.00,0.30,0.50,1.00,1.00,2.30,1.00,2.50,1.80,1.00,54.20,10.00,3.00,-0.01,4.30,2.00,7.90,8.20,3.00,61.00,3.60,2.00,22.00,6.40,2.00,3.80,3.80,2.00,-15.32,5.50,2.00,-13.00,4.00,2.00,13.54,5.80,2.00,31.00,3.10,1.00,35.00,4.90,2.00,56.00,7.20,3.00,4.87,2.20,1.00,15.00,8.80,3.00,14.90,10.00,3.00,5.00,0.20,1.00,9.20,6.30,2.00,13.90,1.90,1.00,60.00,0.70,1.00,27.00,9.60,3.00,3.30,2.50,1.00,72.00,4.00,2.00,1.80,5.60,2.00
Neringos sav.,Klaipėdos,2.30,2.00,2.29,2.75,2.88,3.00,2.54,2.30,2.00,2.31,2.50,2.71,3.00,2.47,5.30,9.50,3.00,48.00,2.10,1.00,32.30,6.40,2.00,34.50,0.00,1.00,1.00,7.60,3.00,23.30,3.00,1.00,4.00,1.00,1.00,0.06,6.40,2.00,97.00,9.70,3.00,98.00,10.00,3.00,,10.00,3.00,53.88,10.00,3.00,99.00,9.90,3.00,,,,506.00,2.40,1.00,2.80,4.40,2.00,2.00,5.50,2.00,6.70,7.10,3.00,72.80,10.00,3.00,0.02,10.00,3.00,24.80,10.00,3.00,68.00,10.00,3.00,17.00,10.00,3.00,11.00,10.00,3.00,26.57,10.00,3.00,,,,,,,95.00,10.00,3.00,83.00,10.00,3.00,0.00,0.00,1.00,10.11,10.00,3.00,100.00,0.00,1.00,48.00,10.00,3.00,0.00,0.00,1.00,,,,3.70,0.40,1.00,0.00,0.00,1.00,,,,0.20,0.20,1.00,74.00,5.30,2.00,,,
Palangos m. sav.,Klaipėdos,2.10,2.42,1.93,2.75,2.00,2.67,2.31,2.20,2.25,1.93,3.00,2.22,3.00,2.43,8.00,7.00,3.00,16.40,7.70,3.00,204.00,0.00,1.00,15.20,8.90,3.00,1.50,6.20,2.00,59.20,10.00,3.00,0.00,0.00,1.00,0.01,10.00,3.00,96.00,9.50,3.00,67.00,5.90,2.00,23.00,2.30,1.00,272.52,8.90,3.00,95.00,9.40,3.00,,,,467.00,0.70,1.00,2.30,3.70,2.00,2.20,6.10,2.00,4.90,4.80,2.00,45.70,6.40,2.00,0.00,6.00,2.00,28.40,10.00,3.00,60.00,2.70,1.00,26.00,3.60,2.00,7.60,10.00,3.00,-11.81,6.70,3.00,,,,,,,43.00,5.80,2.00,39.00,5.50,2.00,32.00,4.10,2.00,9.02,8.40,3.00,5.00,5.40,2.00,32.10,10.00,3.00,3.00,0.10,1.00,1.30,0.70,1.00,36.50,5.30,2.00,24.00,0.30,1.00,7.00,2.50,1.00,4.50,3.50,2.00,71.90,3.90,2.00,,,
Skuodo r. sav.,Klaipėdos,1.20,1.54,2.20,1.80,1.83,1.50,1.68,1.50,1.62,2.00,1.60,1.67,1.50,1.65,8.00,7.00,3.00,46.70,2.40,1.00,13.10,4.20,2.00,16.60,9.70,3.00,0.60,8.70,3.00,33.30,4.90,2.00,0.00,0.00,1.00,0.03,8.50,3.00,59.00,5.20,2.00,29.00,0.80,1.00,67.00,6.70,3.00,97.04,9.70,3.00,42.00,3.50,2.00,10.00,1.50,1.00,465.00,0.60,1.00,0.20,0.30,1.00,0.30,0.00,1.00,1.20,0.10,1.00,49.80,8.10,3.00,-0.02,1.70,1.00,3.40,1.60,1.00,60.00,2.70,1.00,26.00,3.60,2.00,2.60,1.40,1.00,-26.44,1.80,1.00,-31.00,0.70,1.00,5.78,8.20,3.00,28.00,2.40,1.00,42.00,6.00,2.00,71.00,9.10,3.00,4.01,0.90,1.00,39.00,2.80,1.00,5.00,2.10,1.00,1.00,0.00,1.00,,,,2.30,0.20,1.00,16.00,0.20,1.00,,,,0.00,0.00,1.00,66.50,0.60,1.00,0.80,8.30,3.00
