SAV,APSKRITIS,16EK,16SO_EK,16SO,16SO_AP,16AP,16EK_AP,16VID,26EK,26SO_EK,26SO,26SO_AP,26AP,26EK_AP,26VID,NL16,NL16SR,NL16RI,IBD16,IBD16SR,IBD16RI,LLS16,LLS16SR,LLS16RI,MPM16,MPM16SR,MPM16RI,EIS16,EIS16SR,EIS16RI,VTP16,VTP16SR,VTP16RI,KGP16,KGP16SR,KGP16RI,OUP16,OUP16SR,OUP16RI,GVT16,GVT16SR,GVT16RI,NZP16,NZP16SR,NZP16RI,VTD16,VTD16SR,VTD16RI,OIT16,OIT16SR,OIT16RI,VBN16,VBN16SR,VBN16RI,CTS16,CTS16SR,CTS16RI,NDU16,NDU16SR,NDU16RI,TUI16,TUI16SR,TUI16RI,MIG16,MIG16SR,MIG16RI,PVG16,PVG16SR,PVG16RI,UGD16,UGD16SR,UGD16RI,NM16,NM16SR,NM16RI,SLD16,SLD16SR,SLD16RI,DAG16,DAG16SR,DAG16RI,PAG16,PAG16SR,PAG16RI,USS16,USS16SR,USS16RI,GSM16,GSM16SR,GSM16RI,GSK16,GSK16SR,GSK16RI,KGD16,KGD16SR,KGD16RI,KPD16,KPD16SR,KPD16RI,M16,M16SR,M16RI,ZNP16,ZNP16SR,ZNP16RI,RIP16,RIP16SR,RIP16RI,STP16,STP16SR,STP16RI,KPO16,KPO16SR,KPO16RI,NII16,NII16SR,NII16SI,INI16,INI16SR,INI16RI,PVI16,PVI16SR,PVI16RI,KNI16,KNI16SR,KNI16RI,NG16,NG16SR,NG16RI,PVA16,PVA16SR,PVA16RI,MMA16,MMA16SR,MMA16RI,EDD16,EDD16SR,EDD16RI
Šilalės r. sav.,Tauragės,1.40,1.62,2.27,2.00,1.75,1.75,1.80,1.50,1.62,2.20,2.00,1.67,1.50,1.75,7.50,7.50,3.00,25.90,6.00,2.00,49.20,8.30,3.00,15.70,9.40,3.00,1.20,7.00,3.00,22.80,2.90,1.00,0.00,0.00,1.00,0.05,7.30,3.00,85.00,8.30,3.00,38.00,2.00,1.00,70.00,7.00,3.00,67.03,9.90,3.00,53.00,4.70,2.00,10.00,1.50,1.00,492.00,1.80,1.00,0.00,0.00,1.00,0.40,0.30,1.00,1.60,0.60,1.00,51.20,8.70,3.00,-0.02,1.90,1.00,4.90,3.80,2.00,62.00,4.50,2.00,21.00,7.10,3.00,2.80,1.80,1.00,-14.07,6.00,2.00,-25.00,1.80,1.00,10.61,6.70,3.00,19.00,0.40,1.00,29.00,4.00,2.00,60.00,7.70,3.00,4.44,1.50,1.00,13.00,8.10,3.00,7.50,4.10,2.00,10.00,0.50,1.00,,,,3.80,0.40,1.00,25.00,0.30,1.00,,,,1.70,1.30,1.00,66.70,0.70,1.00,2.30,4.20,2.00
Tauragės r. sav.,Tauragės,1.30,1.46,2.00,1.80,2.00,1.75,1.72,1.70,1.62,2.00,1.60,1.92,1.75,1.76,10.80,4.30,2.00,42.00,3.20,1.00,68.40,9.50,3.00,12.70,6.40,2.00,0.90,7.80,3.00,32.70,4.80,2.00,0.00,0.00,1.00,0.07,6.20,2.00,67.00,6.20,2.00,48.00,3.30,2.00,78.00,7.80,3.00,367.79,8.40,3.00,61.00,5.60,2.00,12.00,1.80,1.00,494.00,1.80,1.00,0.70,1.10,1.00,1.00,2.30,1.00,2.90,2.30,1.00,44.10,5.80,2.00,-0.02,2.80,1.00,4.80,3.70,2.00,62.00,4.50,2.00,23.00,5.70,2.00,4.20,4.60,2.00,-21.19,3.60,2.00,-25.00,1.80,1.00,15.82,5.10,2.00,20.00,0.70,1.00,39.00,5.50,2.00,50.00,6.40,2.00,4.71,2.00,1.00,24.00,8.00,3.00,4.90,2.00,1.00,41.00,1.90,1.00,,,,24.40,3.50,2.00,,,,,,,3.50,2.70,1.00,67.50,1.20,1.00,1.80,5.60,2.00
Mažeikių r. sav.,Telšių,2.10,1.92,2.00,2.00,1.42,1.50,1.82,2.20,2.00,2.00,2.00,1.50,1.50,1.87,11.00,4.20,2.00,48.80,2.00,1.00,43.80,7.70,3.00,14.00,7.70,3.00,1.00,7.60,3.00,33.80,5.00,2.00,13.00,3.10,1.00,0.06,6.50,2.00,83.00,8.00,3.00,37.00,1.90,1.00,65.00,6.50,2.00,24674.74,0.00,1.00,78.00,7.50,3.00,27.00,4.50,2.00,576.60,5.40,2.00,6.30,10.00,3.00,1.40,3.50,2.00,8.30,9.10,3.00,46.90,6.90,3.00,-0.02,1.30,1.00,4.50,3.20,1.00,63.00,5.50,2.00,19.00,8.60,3.00,4.10,4.40,2.00,-18.06,4.60,2.00,-20.00,2.70,1.00,9.24,7.20,3.00,28.00,2.40,1.00,30.00,4.20,2.00,60.00,7.70,3.00,4.00,0.90,1.00,9.00,6.80,3.00,7.10,3.80,2.00,30.00,1.40,1.00,,,,21.50,3.10,1.00,205.00,2.30,1.00,,,,6.40,4.90,2.00,76.40,6.80,3.00,1.60,6.10,2.00
Plungės r. sav.,Telšių,1.60,1.92,2.33,2.00,1.92,1.75,1.92,1.80,1.92,2.33,2.00,1.92,1.75,1.95,7.10,7.80,3.00,28.60,5.60,2.00,53.00,8.70,3.00,14.00,7.70,3.00,0.70,8.40,3.00,31.20,4.50,2.00,22.00,5.20,2.00,0.04,8.20,3.00,86.00,8.40,3.00,49.00,3.50,2.00,83.00,8.30,3.00,745.89,6.50,2.00,76.00,7.30,3.00,17.00,2.70,1.00,494.60,1.90,1.00,0.60,1.00,1.00,0.90,1.90,1.00,3.10,2.50,1.00,42.20,5.00,2.00,-0.02,2.10,1.00,5.40,4.60,2.00,62.00,4.50,2.00,22.00,6.40,2.00,3.60,3.40,2.00,-20.66,3.80,2.00,-18.40,3.00,1.00,5.53,8.30,3.00,19.00,0.40,1.00,36.00,5.10,2.00,51.00,6.50,2.00,5.19,2.70,1.00,34.00,4.50,2.00,8.30,4.70,2.00,35.00,1.60,1.00,0.30,0.00,1.00,17.40,2.50,1.00,67.00,0.80,1.00,0.00,0.00,1.00,4.90,3.80,2.00,72.20,4.10,2.00,1.80,5.60,2.00
Rietavo sav.,Telšių,1.40,1.50,1.93,1.00,1.90,2.00,1.62,1.60,1.60,2.13,1.50,2.00,2.00,1.81,6.80,8.10,3.00,31.00,5.10,2.00,31.10,6.20,2.00,15.50,9.20,3.00,1.00,7.60,3.00,14.80,1.30,1.00,0.00,0.00,1.00,0.04,7.90,3.00,,,,62.00,5.20,2.00,92.00,9.20,3.00,248.13,9.00,3.00,,,,,,,499.30,2.10,1.00,0.00,0.00,1.00,0.80,1.60,1.00,2.10,1.30,1.00,44.00,5.70,2.00,-0.02,1.70,1.00,4.70,3.50,2.00,62.00,4.50,2.00,22.00,6.40,2.00,3.50,3.20,1.00,-13.62,6.10,2.00,-33.00,0.40,1.00,13.08,6.00,2.00,29.00,2.70,1.00,54.00,7.80,3.00,38.00,4.90,2.00,4.77,2.00,1.00,12.00,7.80,3.00,4.30,1.50,1.00,23.00,1.10,1.00,,,,0.90,0.00,1.00,51.00,0.60,1.00,,,,0.10,0.10,1.00,68.60,1.90,1.00,0.40,9.40,3.00
Telšių r. sav.,Telšių,1.30,1.77,2.13,2.20,1.83,1.50,1.79,1.30,1.85,2.70,2.00,1.92,1.75,1.81,7.40,7.50,3.00,30.90,5.10,2.00,65.10,9.90,3.00,17.30,9.00,3.00,1.10,7.30,3.00,23.20,3.00,1.00,17.00,4.00,2.00,0.05,7.50,3.00,84.00,8.10,3.00,49.00,3.50,2.00,69.00,6.90,3.00,669.42,6.90,3.00,73.00,7.00,3.00,16.00,2.50,1.00,525.60,3.20,1.00,0.20,0.30,1.00,1.00,2.30,1.00,2.70,2.00,1.00,43.40,5.50,2.00,-0.02,1.90,1.00,4.30,2.90,1.00,60.00,2.70,1.00,24.00,5.00,2.00,3.50,3.20,1.00,-24.91,2.40,1.00,-26.10,1.60,1.00,16.54,4.90,2.00,23.00,1.30,1.00,36.00,5.10,2.00,52.00,6.70,3.00,5.56,3.20,1.00,21.00,9.10,3.00,7.70,4.20,2.00,32.00,1.50,1.00,,,,26.60,3.80,2.00,330.00,3.80,2.00,,,,6.70,5.20,2.00,69.40,2.40,1.00,1.50,6.40,2.00
Anykščių r. sav.,Utenos,1.20,1.46,1.93,1.60,1.75,1.50,1.57,1.10,1.31,1.73,1.40,1.67,1.50,1.45,10.80,4.30,2.00,41.60,3.30,1.00,81.60,8.00,3.00,19.10,7.20,3.00,1.05,7.40,3.00,28.20,3.90,2.00,0.00,0.00,1.00,0.06,6.80,3.00,51.00,4.30,2.00,49.00,3.50,2.00,79.00,7.90,3.00,251.76,9.00,3.00,38.00,3.00,1.00,12.00,1.80,1.00,480.00,1.20,1.00,0.30,0.50,1.00,0.40,0.30,1.00,1.60,0.60,1.00,40.00,4.00,2.00,-0.02,2.80,1.00,3.90,2.40,1.00,59.00,1.80,1.00,29.00,1.40,1.00,3.10,2.40,1.00,-20.55,3.80,2.00,-30.00,0.90,1.00,30.61,0.60,1.00,28.00,2.40,1.00,33.00,4.60,2.00,54.00,6.90,3.00,5.20,2.70,1.00,20.00,9.40,3.00,6.10,3.00,1.00,30.00,1.40,1.00,,,,12.50,1.70,1.00,317.00,3.60,2.00,,,,2.20,1.70,1.00,71.20,3.50,2.00,1.70,5.80,2.00
Ignalinos r. sav.,Utenos,1.10,1.46,1.87,2.20,1.83,1.75,1.70,1.20,1.54,1.87,2.00,1.75,1.75,1.68,15.40,0.00,1.00,53.90,1.10,1.00,54.10,8.80,3.00,19.80,6.50,2.00,0.37,9.30,3.00,35.70,5.40,2.00,22.00,5.20,2.00,0.07,6.00,2.00,70.00,6.50,2.00,62.00,5.20,2.00,80.00,8.00,3.00,177.25,9.30,3.00,52.00,4.60,2.00,15.00,2.40,1.00,495.00,1.90,1.00,0.30,0.50,1.00,0.30,0.00,1.00,1.20,0.10,1.00,38.60,3.50,2.00,-0.01,3.80,2.00,3.10,1.20,1.00,57.00,0.00,1.00,31.00,0.00,1.00,2.50,1.20,1.00,-17.71,4.70,2.00,-35.00,0.00,1.00,24.57,2.50,1.00,26.00,2.00,1.00,36.00,5.10,2.00,42.00,5.40,2.00,7.88,6.70,3.00,28.00,6.60,2.00,4.00,1.30,1.00,76.00,3.50,2.00,,,,3.00,0.30,1.00,85.00,1.00,1.00,,,,1.30,1.00,1.00,70.80,3.30,1.00,2.90,2.50,1.00
Molėtų r. sav.,Utenos,1.50,1.77,2.07,2.20,2.00,2.00,1.92,1.40,1.54,1.80,2.00,1.83,1.75,1.72,11.40,3.80,2.00,36.10,4.20,2.00,50.00,8.40,3.00,17.50,8.80,3.00,0.97,7.60,3.00,34.50,5.20,2.00,0.00,0.00,1.00,0.04,7.70,3.00,81.00,7.80,3.00,61.00,5.10,2.00,84.00,8.40,3.00,291.15,8.80,3.00,45.00,3.80,2.00,12.00,1.80,1.00,467.50,0.70,1.00,0.10,0.20,1.00,0.70,1.30,1.00,1.70,0.80,1.00,41.80,4.80,2.00,-0.01,4.00,2.00,5.80,5.10,2.00,60.00,2.70,1.00,27.00,2.90,1.00,3.60,3.40,2.00,-17.13,4.90,2.00,-29.00,1.10,1.00,23.10,2.90,1.00,24.00,1.60,1.00,32.00,4.50,2.00,45.00,5.80,2.00,7.67,6.40,2.00,19.00,9.80,3.00,7.90,4.40,2.00,6.00,0.30,1.00,,,,5.20,0.60,1.00,99.00,1.10,1.00,,,,0.00,0.00,1.00,73.10,4.70,2.00,2.10,4.70,2.00
Utenos r. sav.,Utenos,2.00,2.08,2.13,2.40,1.83,1.75,2.03,1.90,2.08,2.00,2.40,1.92,2.00,2.05,10.00,5.10,2.00,36.40,4.20,2.00,93.00,6.70,3.00,17.80,8.50,3.00,0.74,8.30,3.00,40.50,6.30,2.00,0.00,0.00,1.00,0.06,6.70,3.00,90.00,8.80,3.00,59.00,4.80,2.00,92.00,9.20,3.00,683.92,6.80,3.00,80.00,7.80,3.00,26.00,4.40,2.00,531.00,3.40,2.00,3.80,6.00,2.00,1.70,4.50,2.00,4.00,3.70,2.00,48.50,7.60,3.00,-0.02,3.00,1.00,3.90,2.40,1.00,62.00,4.50,2.00,25.00,4.30,2.00,3.70,3.60,2.00,-19.73,4.10,2.00,-22.00,2.30,1.00,26.02,2.00,1.00,24.00,1.60,1.00,34.00,4.80,2.00,47.00,6.00,2.00,6.48,4.60,2.00,10.00,7.10,3.00,7.00,3.70,2.00,72.00,3.30,1.00,,,,61.80,9.10,3.00,222.00,2.50,1.00,,,,7.60,5.80,2.00,78.00,7.80,3.00,3.10,1.90,1.00
Visagino sav.,Utenos,1.80,2.31,2.13,2.60,2.33,2.25,2.24,1.50,2.15,2.70,3.00,2.58,2.75,2.34,12.70,2.50,1.00,33.30,4.70,2.00,82.90,7.90,3.00,18.80,7.50,3.00,0.15,9.90,3.00,32.50,4.80,2.00,42.00,10.00,3.00,0.17,0.00,1.00,100.00,10.00,3.00,79.00,7.50,3.00,100.00,10.00,3.00,659.78,6.90,3.00,100.00,10.00,3.00,57.00,10.00,3.00,616.00,7.10,3.00,0.40,0.60,1.00,1.50,3.90,2.00,3.40,2.90,1.00,41.00,4.50,2.00,-0.03,0.60,1.00,4.90,3.80,2.00,65.00,7.30,3.00,20.00,7.90,3.00,3.60,3.40,2.00,,,,,,,76.19,0.00,1.00,82.00,10.00,3.00,58.00,8.40,3.00,2.00,0.30,1.00,7.93,6.80,3.00,1.00,4.00,2.00,3.80,1.10,1.00,0.00,0.00,1.00,,,,40.20,5.90,2.00,0.00,0.00,1.00,,,,3.70,2.80,1.00,74.20,5.40,2.00,0.40,9.40,3.00
Zarasų r. sav.,Utenos,1.20,1.46,1.93,2.20,1.92,1.75,1.74,1.20,1.38,1.80,2.00,1.83,1.75,1.66,14.00,1.30,1.00,44.10,2.80,1.00,38.30,7.00,3.00,20.10,6.20,2.00,0.37,9.30,3.00,34.40,5.10,2.00,6.00,1.40,1.00,0.09,5.00,2.00,70.00,6.50,2.00,69.00,6.10,2.00,84.00,8.40,3.00,152.21,9.50,3.00,48.00,4.20,2.00,19.00,3.10,1.00,462.70,0.50,1.00,0.10,0.20,1.00,0.30,0.00,1.00,1.40,0.40,1.00,33.10,1.20,1.00,-0.01,3.40,2.00,3.50,1.80,1.00,59.00,1.80,1.00,28.00,2.10,1.00,2.80,1.80,1.00,-22.09,3.30,1.00,-30.60,0.80,1.00,32.60,0.00,1.00,22.00,1.10,1.00,38.00,5.40,2.00,36.00,4.60,2.00,8.24,7.20,3.00,29.00,6.30,2.00,6.90,3.60,2.00,34.00,1.60,1.00,,,,3.50,0.40,1.00,120.00,1.40,1.00,,,,1.60,1.20,1.00,73.60,5.00,2.00,1.80,5.60,2.00
Elektrėnų sav.,Vilniaus,2.40,2.27,1.87,1.67,1.58,2.25,2.01,2.50,2.18,1.87,1.67,1.67,2.50,2.06,4.80,10.00,3.00,21.40,6.80,3.00,178.00,0.00,1.00,12.50,6.20,2.00,0.94,7.70,3.00,15.50,1.40,1.00,36.00,8.60,3.00,0.03,8.90,3.00,,,,60.00,4.90,2.00,31.00,3.10,1.00,2487.67,0.00,1.00,,,,27.00,4.50,2.00,588.00,5.90,2.00,4.00,6.30,2.00,2.70,7.70,3.00,6.80,7.20,3.00,51.80,9.00,3.00,0.00,5.50,2.00,5.60,4.90,2.00,63.00,5.50,2.00,22.00,6.40,2.00,2.80,1.80,1.00,-17.59,4.80,2.00,-16.00,3.40,2.00,19.76,3.90,2.00,30.00,2.90,1.00,33.00,4.60,2.00,46.00,5.90,2.00,6.48,4.60,2.00,13.00,8.10,3.00,4.80,1.90,1.00,5.00,0.20,1.00,,,,19.30,2.70,1.00,3.00,0.00,1.00,,,,0.30,0.20,1.00,81.60,10.00,3.00,3.80,0.00,1.00
Šalčininkų r. sav.,Vilniaus,1.40,1.77,2.40,2.20,2.17,1.75,1.95,1.30,1.69,2.27,2.20,2.17,1.75,1.90,10.70,4.40,2.00,25.20,6.20,2.00,54.10,8.80,3.00,20.10,6.20,2.00,0.59,8.70,3.00,30.00,4.30,2.00,0.00,0.00,1.00,0.03,8.50,3.00,93.00,9.20,3.00,57.00,4.50,2.00,69.00,6.90,3.00,92.36,9.80,3.00,91.00,9.00,3.00,7.00,0.90,1.00,451.00,0.00,1.00,0.00,0.00,1.00,0.30,0.00,1.00,1.10,0.00,1.00,38.70,3.50,2.00,-0.01,4.00,2.00,4.30,2.90,1.00,63.00,5.50,2.00,20.00,7.90,3.00,2.30,0.80,1.00,-4.87,9.00,3.00,-23.00,2.20,1.00,8.28,7.50,3.00,29.00,2.70,1.00,48.00,6.90,3.00,43.00,5.50,2.00,4.78,2.10,1.00,20.00,9.40,3.00,5.30,2.30,1.00,25.00,1.10,1.00,,,,5.60,0.70,1.00,73.00,0.80,1.00,,,,0.80,0.60,1.00,69.00,2.10,1.00,0.60,8.90,3.00
Širvintų r. sav.,Vilniaus,1.70,1.92,2.13,2.00,1.75,2.00,1.92,1.60,1.77,2.00,1.80,1.58,1.75,1.75,8.00,7.00,3.00,16.10,7.80,3.00,44.10,7.70,3.00,17.80,8.50,3.00,1.00,7.60,3.00,39.20,6.10,2.00,0.00,0.00,1.00,0.03,8.50,3.00,78.00,7.40,3.00,50.00,3.60,2.00,48.00,4.80,2.00,201.62,9.20,3.00,55.00,4.90,2.00,15.00,2.40,1.00,478.00,1.20,1.00,0.10,0.20,1.00,0.60,1.00,1.00,1.70,0.80,1.00,37.90,3.20,1.00,-0.01,5.10,2.00,5.20,4.30,2.00,62.00,4.50,2.00,24.00,5.00,2.00,2.70,1.60,1.00,-19.43,4.20,2.00,-21.00,2.50,1.00,25.21,2.30,1.00,17.00,0.00,1.00,33.00,4.60,2.00,53.00,6.80,3.00,4.66,1.90,1.00,5.00,5.40,2.00,7.20,3.80,2.00,83.00,3.80,2.00,,,,11.30,1.60,1.00,164.00,1.90,1.00,,,,0.00,0.00,1.00,72.90,4.60,2.00,2.00,5.00,2.00
Švenčionių r. sav.,Vilniaus,1.60,1.85,2.27,2.20,2.33,2.00,2.04,1.80,1.92,2.27,2.20,2.25,1.75,2.03,9.30,5.80,2.00,24.50,6.30,2.00,56.60,9.10,3.00,16.00,9.70,3.00,0.36,9.30,3.00,24.00,3.10,1.00,22.00,5.20,2.00,0.06,6.90,3.00,93.00,9.20,3.00,74.00,6.80,3.00,86.00,8.60,3.00,541.30,7.50,3.00,91.00,9.00,3.00,11.00,1.60,1.00,499.50,2.10,1.00,2.60,4.10,2.00,0.90,1.90,1.00,2.40,1.60,1.00,42.50,5.10,2.00,-0.01,3.60,2.00,4.60,3.40,2.00,61.00,3.60,2.00,26.00,3.60,2.00,2.20,0.60,1.00,-19.12,4.30,2.00,-30.70,0.80,1.00,27.41,1.60,1.00,23.00,1.30,1.00,61.00,8.80,3.00,26.00,3.30,2.00,6.56,4.70,2.00,39.00,2.80,1.00,6.20,3.00,1.00,50.00,2.30,1.00,,,,15.40,2.20,1.00,350.00,4.00,2.00,,,,2.10,1.60,1.00,76.00,6.50,2.00,1.00,7.80,3.00
Trakų r. sav.,Vilniaus,1.90,2.15,2.60,2.00,2.25,2.25,2.19,1.80,2.00,2.40,1.80,2.08,2.00,2.01,5.80,9.10,3.00,25.10,6.20,2.00,44.00,7.70,3.00,13.30,7.00,3.00,1.03,7.50,3.00,27.50,3.80,2.00,33.00,7.90,3.00,0.02,9.20,3.00,63.00,5.70,2.00,70.00,6.30,2.00,76.00,7.60,3.00,161.12,9.40,3.00,48.00,4.20,2.00,11.00,1.60,1.00,571.00,5.10,2.00,1.40,2.20,1.00,1.50,3.90,2.00,3.40,2.90,1.00,49.40,8.00,3.00,-0.01,5.30,2.00,10.90,10.00,3.00,63.00,5.50,2.00,21.00,7.10,3.00,3.40,3.00,1.00,-14.74,5.70,2.00,-8.10,4.80,2.00,15.86,5.10,2.00,33.00,3.60,2.00,50.00,7.20,3.00,33.00,4.20,2.00,7.15,5.60,2.00,23.00,8.40,3.00,6.90,3.60,2.00,187.00,8.50,3.00,,,,237.80,10.00,3.00,1095.00,10.00,3.00,,,,0.10,0.10,1.00,76.60,6.90,3.00,2.40,3.90,2.00
Ukmergės r. sav.,Vilniaus,1.30,1.85,2.00,2.20,1.83,1.75,1.82,1.60,1.92,2.70,2.20,1.83,1.75,1.90,11.40,3.80,2.00,31.60,5.00,2.00,59.30,9.40,3.00,16.00,9.70,3.00,0.62,8.60,3.00,31.20,4.50,2.00,0.00,0.00,1.00,0.03,8.30,3.00,91.00,9.00,3.00,45.00,2.90,1.00,78.00,7.80,3.00,622.20,7.10,3.00,80.00,7.80,3.00,23.00,3.80,2.00,513.00,2.60,1.00,1.50,2.40,1.00,0.70,1.30,1.00,3.60,3.20,1.00,46.50,6.80,3.00,-0.02,3.20,1.00,2.70,0.60,1.00,59.00,1.80,1.00,27.00,2.90,1.00,3.20,2.60,1.00,-24.13,2.60,1.00,-28.00,1.30,1.00,30.13,0.80,1.00,31.00,3.10,1.00,33.00,4.60,2.00,55.00,7.10,3.00,4.90,2.20,1.00,16.00,9.20,3.00,6.20,3.00,1.00,38.00,1.70,1.00,,,,31.60,4.60,2.00,95.00,1.10,1.00,,,,3.50,2.70,1.00,75.90,6.40,2.00,1.40,6.70,3.00
Vilniaus m. sav.,Vilniaus,2.80,2.85,2.50,2.80,2.27,2.25,2.58,2.40,2.77,2.29,2.60,2.36,2.75,2.53,5.90,9.00,3.00,21.60,6.80,3.00,14.20,4.30,2.00,10.20,3.80,2.00,1.15,7.10,3.00,87.60,10.00,3.00,95.00,10.00,3.00,0.01,9.70,3.00,93.00,9.20,3.00,52.00,3.90,2.00,58.00,5.80,2.00,3824.97,0.00,1.00,91.00,9.00,3.00,34.00,5.80,2.00,685.00,10.00,3.00,17.30,10.00,3.00,3.40,10.00,3.00,11.30,10.00,3.00,54.30,10.00,3.00,0.00,6.60,2.00,5.60,4.90,2.00,64.00,6.40,2.00,19.00,8.60,3.00,10.10,10.00,3.00,-1.90,10.00,3.00,56.20,10.00,3.00,0.00,10.00,3.00,74.00,10.00,3.00,35.00,4.90,2.00,19.00,2.40,1.00,8.48,7.60,3.00,18.00,9.90,3.00,147.90,10.00,3.00,8.00,0.40,1.00,,,,282.70,10.00,3.00,233.00,2.70,1.00,,,,63.90,10.00,3.00,77.70,7.60,3.00,,,
Vilniaus r. sav.,Vilniaus,2.00,2.23,2.33,2.20,2.80,2.50,2.22,2.00,2.23,2.20,2.00,1.83,2.00,2.40,8.90,6.10,2.00,33.50,4.70,2.00,101.00,5.80,2.00,15.20,8.90,3.00,1.00,7.60,3.00,41.80,6.60,2.00,34.00,8.10,3.00,0.01,9.70,3.00,93.00,9.20,3.00,63.00,5.30,2.00,55.00,5.50,2.00,873.00,5.90,2.00,91.00,9.00,3.00,4.00,0.40,1.00,569.00,5.00,2.00,1.80,2.90,1.00,2.30,6.50,2.00,3.40,2.90,1.00,49.30,7.90,3.00,0.01,8.30,3.00,13.60,10.00,3.00,65.00,7.30,3.00,18.00,9.30,3.00,3.90,4.00,2.00,-19.47,4.20,2.00,9.37,8.00,3.00,10.70,6.70,3.00,30.00,2.90,1.00,42.00,6.00,2.00,40.00,5.10,2.00,5.03,2.40,1.00,9.00,6.80,3.00,5.70,2.60,1.00,102.00,4.70,2.00,,,,146.10,10.00,3.00,401.00,4.60,2.00,,,,30.80,10.00,3.00,75.40,6.10,2.00,1.80,5.60,2.00
Vidutinė Lietuvos savivaldybė,,1.62,1.86,2.30,2.20,1.84,1.93,1.88,1.69,1.86,1.99,1.94,1.80,1.93,1.87,9.43,5.63,2.20,34.32,4.55,1.88,64.24,6.79,2.56,16.30,7.33,2.62,1.02,7.52,2.80,35.75,4.87,1.92,17.68,3.12,1.60,0.05,7.17,2.62,75.46,7.15,2.54,48.68,3.42,1.57,48.20,4.91,2.00,1174.02,7.11,2.60,65.20,6.09,2.29,18.44,2.99,1.38,516.58,2.81,1.40,1.55,2.14,1.30,1.20,2.82,1.42,3.29,2.73,1.40,43.86,5.60,2.15,-0.01,3.41,1.47,6.44,4.41,1.78,61.20,3.80,1.62,23.42,5.29,2.03,3.77,3.44,1.52,-19.30,4.06,1.69,-19.88,2.57,1.35,18.60,4.55,1.81,34.62,3.55,1.48,33.65,4.69,1.93,47.52,6.09,2.37,5.60,3.28,1.52,18.32,7.00,2.60,16.46,3.89,1.60,48.07,2.13,1.32,5.12,3.40,1.60,35.06,3.14,1.48,227.56,2.34,1.34,15.40,5.50,2.00,6.06,2.89,1.38,73.16,4.74,1.95,1.53,6.46,2.37