SAV,INDICATOR_CODE,value_2016,value_2025,year_2025,index_2016,index_2025
Alytaus m. sav.,NL,10.3,,,2.0,
Alytaus m. sav.,IBD,39.6,,,2.0,
Alytaus m. sav.,LLS,16.2,,,2.0,
Alytaus m. sav.,MPM,13.4,,,3.0,
Alytaus m. sav.,MMA,78.5,,,3.0,
Alytaus m. sav.,EIS,2.88,,,1.0,
Alytaus m. sav.,VTP,88.7,,,3.0,
Alytaus m. sav.,KGP,0.0,,,1.0,
Alytaus m. sav.,OUP,0.04,,,3.0,
Alytaus m. sav.,KPD,75.0,,,3.0,
Alytaus m. sav.,GVT,98.0,,,3.0,
Alytaus m. sav.,VBN,99.0,,,3.0,
Alytaus m. sav.,CTS,36.0,,,2.0,
Alytaus m. sav.,NZP,49.0,,,2.0,
Alytaus m. sav.,VTD,0.00,,,1.0,
Alytaus m. sav.,OIT,502.23,,,3.0,
Alytaus m. sav.,EDD,,,,,
Alytaus m. sav.,NDU,545.0,,,2.0,
Alytaus m. sav.,TUI,1.5,,,1.0,
Alytaus m. sav.,MIG,1.1,,,1.0,
Alytaus m. sav.,PVG,4.6,,,2.0,
Alytaus m. sav.,UGD,50.2,,,3.0,
Alytaus m. sav.,NM,-0.03,,,1.0,
Alytaus m. sav.,SLD,4.6,,,2.0,
Alytaus m. sav.,DAG,63.0,,,2.0,
Alytaus m. sav.,PAG,23.0,,,2.0,
Alytaus m. sav.,USS,5.1,,,2.0,
Alytaus m. sav.,GSM,-23.86,,,1.0,
Alytaus m. sav.,GSK,,,,,
Alytaus m. sav.,KGD,,,,,
Alytaus m. sav.,M,33.0,,,2.0,
Alytaus m. sav.,ZNP,15.0,,,1.0,
Alytaus m. sav.,RIP,4.36,,,1.0,
Alytaus m. sav.,NII,0.0,,,1.0,
Alytaus m. sav.,INI,,,,,
Alytaus m. sav.,PVI,14.3,,,1.0,
Alytaus m. sav.,KNI,0.00,,,1.0,
Alytaus m. sav.,NG,,,,,
Alytaus m. sav.,PVA,0.0,,,1.0,
Alytaus m. sav.,STP,10.0,,,3.0,
Alytaus m. sav.,KPO,31.5,,,3.0,
Alytaus r. sav.,NL,13.1,,,1.0,
Alytaus r. sav.,IBD,49.1,,,1.0,
Alytaus r. sav.,LLS,85.6,,,3.0,
Alytaus r. sav.,MPM,19.1,,,3.0,
Alytaus r. sav.,MMA,72.7,,,2.0,
Alytaus r. sav.,EIS,0.78,,,3.0,
Alytaus r. sav.,VTP,39.7,,,2.0,
Alytaus r. sav.,KGP,0.0,,,1.0,
Alytaus r. sav.,OUP,0.04,,,3.0,
Alytaus r. sav.,KPD,34.0,,,2.0,
Alytaus r. sav.,GVT,27.0,,,1.0,
Alytaus r. sav.,VBN,15.0,,,1.0,
Alytaus r. sav.,CTS,,,,,
Alytaus r. sav.,NZP,45.0,,,1.0,
Alytaus r. sav.,VTD,56.00,,,2.0,
Alytaus r. sav.,OIT,269.46,,,3.0,
Alytaus r. sav.,EDD,1.8,,,2.0,
Alytaus r. sav.,NDU,502.0,,,1.0,
Alytaus r. sav.,TUI,1.0,,,1.0,
Alytaus r. sav.,MIG,0.7,,,1.0,
Alytaus r. sav.,PVG,1.5,,,1.0,
Alytaus r. sav.,UGD,42.5,,,2.0,
Alytaus r. sav.,NM,0.0,,,2.0,
Alytaus r. sav.,SLD,6.3,,,2.0,
Alytaus r. sav.,DAG,59.0,,,1.0,
Alytaus r. sav.,PAG,27.0,,,1.0,
Alytaus r. sav.,USS,2.7,,,1.0,
Alytaus r. sav.,GSM,-28.21,,,1.0,
Alytaus r. sav.,GSK,-16.0,,,2.0,
Alytaus r. sav.,KGD,6.48,,,3.0,
Alytaus r. sav.,M,25.0,,,2.0,
Alytaus r. sav.,ZNP,57.0,,,3.0,
Alytaus r. sav.,RIP,5.53,,,1.0,
Alytaus r. sav.,NII,21.0,,,1.0,
Alytaus r. sav.,INI,,,,,
Alytaus r. sav.,PVI,14.3,,,1.0,
Alytaus r. sav.,KNI,202.00,,,1.0,
Alytaus r. sav.,NG,,,,,
Alytaus r. sav.,PVA,8.5,,,2.0,
Alytaus r. sav.,STP,12.0,,,3.0,
Alytaus r. sav.,KPO,5.9,,,1.0,
Druskininkų sav.,NL,9.9,,,2.0,
Druskininkų sav.,IBD,38.7,,,2.0,
Druskininkų sav.,LLS,83.8,,,3.0,
Druskininkų sav.,MPM,13.0,,,3.0,
Druskininkų sav.,MMA,75.8,,,2.0,
Druskininkų sav.,EIS,0.4,,,3.0,
Druskininkų sav.,VTP,30.6,,,2.0,
Druskininkų sav.,KGP,0.0,,,1.0,
Druskininkų sav.,OUP,0.07,,,2.0,
Druskininkų sav.,KPD,35.0,,,2.0,
Druskininkų sav.,GVT,86.0,,,3.0,
Druskininkų sav.,VBN,82.0,,,3.0,
Druskininkų sav.,CTS,32.0,,,2.0,
Druskininkų sav.,NZP,81.0,,,3.0,
Druskininkų sav.,VTD,45.00,,,2.0,
Druskininkų sav.,OIT,452.43,,,3.0,
Druskininkų sav.,EDD,2.3,,,2.0,
Druskininkų sav.,NDU,497.0,,,1.0,
Druskininkų sav.,TUI,1.9,,,1.0,
Druskininkų sav.,MIG,1.1,,,1.0,
Druskininkų sav.,PVG,4.1,,,2.0,
Druskininkų sav.,UGD,47.1,,,3.0,
Druskininkų sav.,NM,-0.01,,,2.0,
Druskininkų sav.,SLD,6.1,,,2.0,
Druskininkų sav.,DAG,61.0,,,2.0,
Druskininkų sav.,PAG,26.0,,,2.0,
Druskininkų sav.,USS,5.2,,,2.0,
Druskininkų sav.,GSM,-27.46,,,1.0,
Druskininkų sav.,GSK,-0.5,,,2.0,
Druskininkų sav.,KGD,10.94,,,2.0,
Druskininkų sav.,M,69.0,,,3.0,
Druskininkų sav.,ZNP,18.0,,,1.0,
Druskininkų sav.,RIP,7.92,,,3.0,
Druskininkų sav.,NII,5.0,,,1.0,
Druskininkų sav.,INI,,,,,
Druskininkų sav.,PVI,26.1,,,2.0,
Druskininkų sav.,KNI,44.00,,,1.0,
Druskininkų sav.,NG,,,,,
Druskininkų sav.,PVA,4.0,,,1.0,
Druskininkų sav.,STP,7.0,,,2.0,
Druskininkų sav.,KPO,5.9,,,1.0,
Lazdijų r. sav.,NL,15.0,,,1.0,
Lazdijų r. sav.,IBD,60.2,,,1.0,
Lazdijų r. sav.,LLS,54.5,,,3.0,
Lazdijų r. sav.,MPM,15.6,,,3.0,
Lazdijų r. sav.,MMA,68.0,,,1.0,
Lazdijų r. sav.,EIS,0.84,,,3.0,
Lazdijų r. sav.,VTP,25.6,,,2.0,
Lazdijų r. sav.,KGP,5.0,,,1.0,
Lazdijų r. sav.,OUP,0.07,,,2.0,
Lazdijų r. sav.,KPD,29.0,,,1.0,
Lazdijų r. sav.,GVT,14.0,,,1.0,
Lazdijų r. sav.,VBN,11.0,,,1.0,
Lazdijų r. sav.,CTS,6.0,,,1.0,
Lazdijų r. sav.,NZP,58.0,,,2.0,
Lazdijų r. sav.,VTD,69.00,,,3.0,
Lazdijų r. sav.,OIT,130.73,,,3.0,
Lazdijų r. sav.,EDD,0.9,,,3.0,
Lazdijų r. sav.,NDU,456.4,,,1.0,
Lazdijų r. sav.,TUI,0.0,,,1.0,
Lazdijų r. sav.,MIG,0.4,,,1.0,
Lazdijų r. sav.,PVG,1.1,,,1.0,
Lazdijų r. sav.,UGD,41.1,,,2.0,
Lazdijų r. sav.,NM,-0.02,,,1.0,
Lazdijų r. sav.,SLD,5.1,,,2.0,
Lazdijų r. sav.,DAG,59.0,,,1.0,
Lazdijų r. sav.,PAG,27.0,,,1.0,
Lazdijų r. sav.,USS,2.4,,,1.0,
Lazdijų r. sav.,GSM,-20.89,,,2.0,
Lazdijų r. sav.,GSK,-26.0,,,1.0,
Lazdijų r. sav.,KGD,11.47,,,2.0,
Lazdijų r. sav.,M,36.0,,,2.0,
Lazdijų r. sav.,ZNP,46.0,,,2.0,
Lazdijų r. sav.,RIP,7.69,,,2.0,
Lazdijų r. sav.,NII,11.0,,,1.0,
Lazdijų r. sav.,INI,,,,,
Lazdijų r. sav.,PVI,1.0,,,1.0,
Lazdijų r. sav.,KNI,105.00,,,1.0,
Lazdijų r. sav.,NG,,,,,
Lazdijų r. sav.,PVA,0.0,,,1.0,
Lazdijų r. sav.,STP,24.0,,,3.0,
Lazdijų r. sav.,KPO,4.8,,,1.0,
Varėnos r. sav.,NL,10.0,,,2.0,
Varėnos r. sav.,IBD,27.8,,,2.0,
Varėnos r. sav.,LLS,60.7,,,3.0,
Varėnos r. sav.,MPM,19.4,,,3.0,
Varėnos r. sav.,MMA,71.9,,,2.0,
Varėnos r. sav.,EIS,1.23,,,3.0,
Varėnos r. sav.,VTP,23.2,,,1.0,
Varėnos r. sav.,KGP,19.0,,,2.0,
Varėnos r. sav.,OUP,0.05,,,3.0,
Varėnos r. sav.,KPD,30.0,,,1.0,
Varėnos r. sav.,GVT,83.0,,,3.0,
Varėnos r. sav.,VBN,65.0,,,2.0,
Varėnos r. sav.,CTS,20.0,,,1.0,
Varėnos r. sav.,NZP,79.0,,,3.0,
Varėnos r. sav.,VTD,76.00,,,3.0,
Varėnos r. sav.,OIT,424.79,,,3.0,
Varėnos r. sav.,EDD,0.9,,,3.0,
Varėnos r. sav.,NDU,495.7,,,1.0,
Varėnos r. sav.,TUI,0.1,,,1.0,
Varėnos r. sav.,MIG,0.6,,,1.0,
Varėnos r. sav.,PVG,1.9,,,1.0,
Varėnos r. sav.,UGD,40.0,,,2.0,
Varėnos r. sav.,NM,-0.02,,,1.0,
Varėnos r. sav.,SLD,4.4,,,1.0,
Varėnos r. sav.,DAG,59.0,,,1.0,
Varėnos r. sav.,PAG,28.0,,,1.0,
Varėnos r. sav.,USS,2.9,,,1.0,
Varėnos r. sav.,GSM,-19.07,,,2.0,
Varėnos r. sav.,GSK,-29.9,,,1.0,
Varėnos r. sav.,KGD,13.98,,,2.0,
Varėnos r. sav.,M,69.0,,,3.0,
Varėnos r. sav.,ZNP,21.0,,,1.0,
Varėnos r. sav.,RIP,5.69,,,2.0,
Varėnos r. sav.,NII,219.0,,,3.0,
Varėnos r. sav.,INI,,,,,
Varėnos r. sav.,PVI,12.6,,,1.0,
Varėnos r. sav.,KNI,103.00,,,1.0,
Varėnos r. sav.,NG,,,,,
Varėnos r. sav.,PVA,2.9,,,1.0,
Varėnos r. sav.,STP,35.0,,,2.0,
Varėnos r. sav.,KPO,4.0,,,1.0,
Birštono sav.,NL,5.6,,,3.0,
Birštono sav.,IBD,57.0,,,1.0,
Birštono sav.,LLS,,,,,
Birštono sav.,MPM,12.6,,,2.0,
Birštono sav.,MMA,73.6,,,2.0,
Birštono sav.,EIS,0.12,,,3.0,
Birštono sav.,VTP,48.2,,,3.0,
Birštono sav.,KGP,0.0,,,1.0,
Birštono sav.,OUP,0.04,,,3.0,
Birštono sav.,KPD,46.0,,,2.0,
Birštono sav.,GVT,68.0,,,2.0,
Birštono sav.,VBN,63.0,,,2.0,
Birštono sav.,CTS,22.0,,,2.0,
Birštono sav.,NZP,62.0,,,2.0,
Birštono sav.,VTD,0.00,,,1.0,
Birštono sav.,OIT,90.56,,,3.0,
Birštono sav.,EDD,6.6,,,1.0,
Birštono sav.,NDU,496.0,,,1.0,
Birštono sav.,TUI,0.1,,,1.0,
Birštono sav.,MIG,1.6,,,2.0,
Birštono sav.,PVG,2.6,,,1.0,
Birštono sav.,UGD,39.3,,,2.0,
Birštono sav.,NM,-0.02,,,1.0,
Birštono sav.,SLD,12.5,,,3.0,
Birštono sav.,DAG,60.0,,,1.0,
Birštono sav.,PAG,27.0,,,1.0,
Birštono sav.,USS,4.1,,,2.0,
Birštono sav.,GSM,-23.75,,,1.0,
Birštono sav.,GSK,-15.0,,,2.0,
Birštono sav.,KGD,12.24,,,2.0,
Birštono sav.,M,47.0,,,3.0,
Birštono sav.,ZNP,36.0,,,2.0,
Birštono sav.,RIP,7.26,,,2.0,
Birštono sav.,NII,0.0,,,1.0,
Birštono sav.,INI,,,,,
Birštono sav.,PVI,12.0,,,1.0,
Birštono sav.,KNI,2.00,,,1.0,
Birštono sav.,NG,,,,,
Birštono sav.,PVA,0.9,,,1.0,
Birštono sav.,STP,82.0,,,1.0,
Birštono sav.,KPO,9.2,,,2.0,
Jonavos r. sav.,NL,9.4,,,2.0,
Jonavos r. sav.,IBD,30.8,,,2.0,
Jonavos r. sav.,LLS,41.8,,,3.0,
Jonavos r. sav.,MPM,15.0,,,3.0,
Jonavos r. sav.,MMA,78.0,,,3.0,
Jonavos r. sav.,EIS,1.0,,,3.0,
Jonavos r. sav.,VTP,32.9,,,2.0,
Jonavos r. sav.,KGP,9.0,,,1.0,
Jonavos r. sav.,OUP,0.05,,,3.0,
Jonavos r. sav.,KPD,31.0,,,1.0,
Jonavos r. sav.,GVT,88.0,,,3.0,
Jonavos r. sav.,VBN,82.0,,,3.0,
Jonavos r. sav.,CTS,32.0,,,2.0,
Jonavos r. sav.,NZP,52.0,,,2.0,
Jonavos r. sav.,VTD,28.00,,,1.0,
Jonavos r. sav.,OIT,"3,002.81",,,1.0,
Jonavos r. sav.,EDD,1.5,,,2.0,
Jonavos r. sav.,NDU,605.0,,,2.0,
Jonavos r. sav.,TUI,0.2,,,1.0,
Jonavos r. sav.,MIG,1.6,,,2.0,
Jonavos r. sav.,PVG,5.4,,,2.0,
Jonavos r. sav.,UGD,42.1,,,2.0,
Jonavos r. sav.,NM,-0.01,,,2.0,
Jonavos r. sav.,SLD,4.9,,,2.0,
Jonavos r. sav.,DAG,61.0,,,2.0,
Jonavos r. sav.,PAG,22.0,,,2.0,
Jonavos r. sav.,USS,3.0,,,1.0,
Jonavos r. sav.,GSM,-18.27,,,2.0,
Jonavos r. sav.,GSK,-16.0,,,2.0,
Jonavos r. sav.,KGD,23.05,,,1.0,
Jonavos r. sav.,M,42.0,,,2.0,
Jonavos r. sav.,ZNP,46.0,,,2.0,
Jonavos r. sav.,RIP,3.85,,,1.0,
Jonavos r. sav.,NII,112.0,,,2.0,
Jonavos r. sav.,INI,,,,,
Jonavos r. sav.,PVI,27.8,,,2.0,
Jonavos r. sav.,KNI,"1,039.00",,,3.0,
Jonavos r. sav.,NG,,,,,
Jonavos r. sav.,PVA,4.8,,,2.0,
Jonavos r. sav.,STP,4.0,,,2.0,
Jonavos r. sav.,KPO,5.5,,,1.0,
Kaišiadorių r. sav.,NL,7.0,,,3.0,
Kaišiadorių r. sav.,IBD,41.1,,,2.0,
Kaišiadorių r. sav.,LLS,42.5,,,3.0,
Kaišiadorių r. sav.,MPM,15.2,,,3.0,
Kaišiadorių r. sav.,MMA,74.9,,,2.0,
Kaišiadorių r. sav.,EIS,1.25,,,3.0,
Kaišiadorių r. sav.,VTP,14.6,,,1.0,
Kaišiadorių r. sav.,KGP,30.0,,,3.0,
Kaišiadorių r. sav.,OUP,0.02,,,3.0,
Kaišiadorių r. sav.,KPD,32.0,,,2.0,
Kaišiadorių r. sav.,GVT,95.0,,,3.0,
Kaišiadorių r. sav.,VBN,82.0,,,3.0,
Kaišiadorių r. sav.,CTS,16.0,,,1.0,
Kaišiadorių r. sav.,NZP,49.0,,,2.0,
Kaišiadorių r. sav.,VTD,24.00,,,1.0,
Kaišiadorių r. sav.,OIT,489.32,,,3.0,
Kaišiadorių r. sav.,EDD,2.6,,,2.0,
Kaišiadorių r. sav.,NDU,533.0,,,2.0,
Kaišiadorių r. sav.,TUI,0.1,,,1.0,
Kaišiadorių r. sav.,MIG,0.8,,,1.0,
Kaišiadorių r. sav.,PVG,2.4,,,1.0,
Kaišiadorių r. sav.,UGD,48.0,,,3.0,
Kaišiadorių r. sav.,NM,-0.01,,,2.0,
Kaišiadorių r. sav.,SLD,4.6,,,2.0,
Kaišiadorių r. sav.,DAG,64.0,,,2.0,
Kaišiadorių r. sav.,PAG,22.0,,,2.0,
Kaišiadorių r. sav.,USS,2.9,,,1.0,
Kaišiadorių r. sav.,GSM,-17.7,,,2.0,
Kaišiadorių r. sav.,GSK,-16.0,,,2.0,
Kaišiadorių r. sav.,KGD,19.64,,,2.0,
Kaišiadorių r. sav.,M,33.0,,,2.0,
Kaišiadorių r. sav.,ZNP,52.0,,,3.0,
Kaišiadorių r. sav.,RIP,4.49,,,1.0,
Kaišiadorių r. sav.,NII,51.0,,,1.0,
Kaišiadorių r. sav.,INI,,,,,
Kaišiadorių r. sav.,PVI,26.8,,,2.0,
Kaišiadorių r. sav.,KNI,104.00,,,1.0,
Kaišiadorių r. sav.,NG,,,,,
Kaišiadorių r. sav.,PVA,3.7,,,1.0,
Kaišiadorių r. sav.,STP,14.0,,,3.0,
Kaišiadorių r. sav.,KPO,5.7,,,1.0,
Kauno m. sav.,NL,6.7,,,3.0,
Kauno m. sav.,IBD,21.6,,,3.0,
Kauno m. sav.,LLS,152.0,,,1.0,
Kauno m. sav.,MPM,11.9,,,2.0,
Kauno m. sav.,MMA,77.0,,,3.0,
Kauno m. sav.,EIS,1.74,,,2.0,
Kauno m. sav.,VTP,92.4,,,3.0,
Kauno m. sav.,KGP,98.0,,,3.0,
Kauno m. sav.,OUP,0.01,,,3.0,
Kauno m. sav.,KPD,62.0,,,3.0,
Kauno m. sav.,GVT,92.0,,,3.0,
Kauno m. sav.,VBN,89.0,,,3.0,
Kauno m. sav.,CTS,40.0,,,3.0,
Kauno m. sav.,NZP,40.0,,,1.0,
Kauno m. sav.,VTD,10.00,,,1.0,
Kauno m. sav.,OIT,"5,369.12",,,1.0,
Kauno m. sav.,EDD,,,,,
Kauno m. sav.,NDU,607.0,,,3.0,
Kauno m. sav.,TUI,4.0,,,2.0,
Kauno m. sav.,MIG,2.1,,,2.0,
Kauno m. sav.,PVG,7.4,,,3.0,
Kauno m. sav.,UGD,50.6,,,3.0,
Kauno m. sav.,NM,-0.01,,,2.0,
Kauno m. sav.,SLD,9.1,,,3.0,
Kauno m. sav.,DAG,61.0,,,2.0,
Kauno m. sav.,PAG,24.0,,,2.0,
Kauno m. sav.,USS,7.5,,,3.0,
Kauno m. sav.,GSM,-21.4,,,2.0,
Kauno m. sav.,GSK,,,,,
Kauno m. sav.,KGD,,,,,
Kauno m. sav.,M,18.0,,,1.0,
Kauno m. sav.,ZNP,13.0,,,1.0,
Kauno m. sav.,RIP,7.22,,,2.0,
Kauno m. sav.,NII,0.0,,,1.0,
Kauno m. sav.,INI,,,,,
Kauno m. sav.,PVI,301.7,,,3.0,
Kauno m. sav.,KNI,0.00,,,1.0,
Kauno m. sav.,NG,,,,,
Kauno m. sav.,PVA,61.0,,,3.0,
Kauno m. sav.,STP,13.0,,,3.0,
Kauno m. sav.,KPO,189.5,,,3.0,
Kauno r. sav.,NL,6.3,,,3.0,
Kauno r. sav.,IBD,23.8,,,2.0,
Kauno r. sav.,LLS,17.8,,,2.0,
Kauno r. sav.,MPM,13.5,,,3.0,
Kauno r. sav.,MMA,76.4,,,3.0,
Kauno r. sav.,EIS,0.9,,,3.0,
Kauno r. sav.,VTP,42.1,,,2.0,
Kauno r. sav.,KGP,18.0,,,2.0,
Kauno r. sav.,OUP,0.01,,,3.0,
Kauno r. sav.,KPD,40.0,,,2.0,
Kauno r. sav.,GVT,62.0,,,2.0,
Kauno r. sav.,VBN,52.0,,,2.0,
Kauno r. sav.,CTS,2.0,,,1.0,
Kauno r. sav.,NZP,45.0,,,1.0,
Kauno r. sav.,VTD,15.00,,,1.0,
Kauno r. sav.,OIT,452.68,,,3.0,
Kauno r. sav.,EDD,2.1,,,2.0,
Kauno r. sav.,NDU,568.0,,,2.0,
Kauno r. sav.,TUI,1.5,,,1.0,
Kauno r. sav.,MIG,1.8,,,2.0,
Kauno r. sav.,PVG,4.0,,,2.0,
Kauno r. sav.,UGD,45.5,,,2.0,
Kauno r. sav.,NM,0.02,,,3.0,
Kauno r. sav.,SLD,16.9,,,3.0,
Kauno r. sav.,DAG,64.0,,,2.0,
Kauno r. sav.,PAG,19.0,,,3.0,
Kauno r. sav.,USS,4.4,,,2.0,
Kauno r. sav.,GSM,-25.95,,,1.0,
Kauno r. sav.,GSK,20.6,,,3.0,
Kauno r. sav.,KGD,7.34,,,3.0,
Kauno r. sav.,M,33.0,,,2.0,
Kauno r. sav.,ZNP,51.0,,,2.0,
Kauno r. sav.,RIP,6.2,,,2.0,
Kauno r. sav.,NII,146.0,,,3.0,
Kauno r. sav.,INI,,,,,
Kauno r. sav.,PVI,16.5,,,1.0,
Kauno r. sav.,KNI,"1,219.00",,,3.0,
Kauno r. sav.,NG,,,,,
Kauno r. sav.,PVA,2.7,,,1.0,
Kauno r. sav.,STP,15.0,,,3.0,
Kauno r. sav.,KPO,5.1,,,1.0,
Kėdainių r. sav.,NL,7.5,,,3.0,
Kėdainių r. sav.,IBD,23.0,,,2.0,
Kėdainių r. sav.,LLS,52.6,,,3.0,
Kėdainių r. sav.,MPM,14.9,,,3.0,
Kėdainių r. sav.,MMA,68.5,,,1.0,
Kėdainių r. sav.,EIS,0.72,,,3.0,
Kėdainių r. sav.,VTP,31.3,,,2.0,
Kėdainių r. sav.,KGP,12.0,,,1.0,
Kėdainių r. sav.,OUP,0.03,,,3.0,
Kėdainių r. sav.,KPD,34.0,,,2.0,
Kėdainių r. sav.,GVT,73.0,,,3.0,
Kėdainių r. sav.,VBN,65.0,,,2.0,
Kėdainių r. sav.,CTS,23.0,,,2.0,
Kėdainių r. sav.,NZP,33.0,,,1.0,
Kėdainių r. sav.,VTD,0.00,,,1.0,
Kėdainių r. sav.,OIT,"2,035.44",,,1.0,
Kėdainių r. sav.,EDD,0.5,,,3.0,
Kėdainių r. sav.,NDU,604.0,,,2.0,
Kėdainių r. sav.,TUI,2.9,,,2.0,
Kėdainių r. sav.,MIG,1.5,,,2.0,
Kėdainių r. sav.,PVG,5.7,,,2.0,
Kėdainių r. sav.,UGD,44.0,,,2.0,
Kėdainių r. sav.,NM,-0.02,,,1.0,
Kėdainių r. sav.,SLD,5.0,,,2.0,
Kėdainių r. sav.,DAG,60.0,,,1.0,
Kėdainių r. sav.,PAG,25.0,,,2.0,
Kėdainių r. sav.,USS,3.7,,,2.0,
Kėdainių r. sav.,GSM,-22.22,,,1.0,
Kėdainių r. sav.,GSK,-28.0,,,1.0,
Kėdainių r. sav.,KGD,32.36,,,1.0,
Kėdainių r. sav.,M,25.0,,,2.0,
Kėdainių r. sav.,ZNP,65.0,,,3.0,
Kėdainių r. sav.,RIP,3.86,,,1.0,
Kėdainių r. sav.,NII,15.0,,,1.0,
Kėdainių r. sav.,INI,,,,,
Kėdainių r. sav.,PVI,38.7,,,2.0,
Kėdainių r. sav.,KNI,53.00,,,1.0,
Kėdainių r. sav.,NG,,,,,
Kėdainių r. sav.,PVA,6.2,,,2.0,
Kėdainių r. sav.,STP,11.0,,,3.0,
Kėdainių r. sav.,KPO,7.3,,,2.0,
Prienų r. sav.,NL,6.8,,,3.0,
Prienų r. sav.,IBD,32.0,,,2.0,
Prienų r. sav.,LLS,53.1,,,3.0,
Prienų r. sav.,MPM,17.0,,,3.0,
Prienų r. sav.,MMA,71.3,,,2.0,
Prienų r. sav.,EIS,0.77,,,3.0,
Prienų r. sav.,VTP,35.6,,,2.0,
Prienų r. sav.,KGP,8.0,,,1.0,
Prienų r. sav.,OUP,0.03,,,3.0,
Prienų r. sav.,KPD,26.0,,,1.0,
Prienų r. sav.,GVT,46.0,,,2.0,
Prienų r. sav.,VBN,33.0,,,1.0,
Prienų r. sav.,CTS,9.0,,,1.0,
Prienų r. sav.,NZP,41.0,,,1.0,
Prienų r. sav.,VTD,36.00,,,2.0,
Prienų r. sav.,OIT,128.14,,,3.0,
Prienų r. sav.,EDD,2.3,,,2.0,
Prienų r. sav.,NDU,478.0,,,1.0,
Prienų r. sav.,TUI,0.0,,,1.0,
Prienų r. sav.,MIG,0.5,,,1.0,
Prienų r. sav.,PVG,1.9,,,1.0,
Prienų r. sav.,UGD,42.3,,,2.0,
Prienų r. sav.,NM,-0.01,,,2.0,
Prienų r. sav.,SLD,4.4,,,1.0,
Prienų r. sav.,DAG,60.0,,,1.0,
Prienų r. sav.,PAG,26.0,,,2.0,
Prienų r. sav.,USS,2.8,,,1.0,
Prienų r. sav.,GSM,-20.15,,,2.0,
Prienų r. sav.,GSK,-24.0,,,1.0,
Prienų r. sav.,KGD,11.6,,,2.0,
Prienų r. sav.,M,28.0,,,2.0,
Prienų r. sav.,ZNP,58.0,,,3.0,
Prienų r. sav.,RIP,4.5,,,1.0,
Prienų r. sav.,NII,29.0,,,1.0,
Prienų r. sav.,INI,,,,,
Prienų r. sav.,PVI,9.7,,,1.0,
Prienų r. sav.,KNI,329.00,,,2.0,
Prienų r. sav.,NG,,,,,
Prienų r. sav.,PVA,1.4,,,1.0,
Prienų r. sav.,STP,15.0,,,3.0,
Prienų r. sav.,KPO,5.7,,,1.0,
Raseinių r. sav.,NL,9.0,,,2.0,
Raseinių r. sav.,IBD,25.6,,,2.0,
Raseinių r. sav.,LLS,54.4,,,3.0,
Raseinių r. sav.,MPM,14.9,,,3.0,
