INDICATOR_CODE,INDICATOR_NAME,SEKTORIUS,DATAFLOW_ID,CANDIDATE_1,CANDIDATE_2,CANDIDATE_3,CANDIDATE_4,CANDIDATE_5
NL,Nedarbo lygis,Socialinis,S3R347_M3030903,[1] S3R347_M3030903 — S3R347 - Nedarbo lygis,[1] S3R347_M3030001_2 — S3R347 - Nedarbo lygis,[1] S3R347_M3030101_1 — S3R347 - Nedarbo lygis,[1] S3R347_M3030901_1 — S3R347 - Nedarbo lygis,[1] S3R347_M3030905_2 — S3R347 - Nedarbo lygis
IBD,Ilgalaikių bedarbių dalis,Socialinis,,(no candidates — likely GIS-computed or no OSP source),,,,
LLS,Ligoninių lovų skaičius,Socialinis,S3R289_M3140104,[1] S3R289_M3140104 — S3R289 - Lovų skaičius ligoninėse,[1] S3R289_M3140105_4 — S3R289 - Lovų skaičius ligoninėse,[1] S3R290_M3140105_1 — S3R290 - Lovų skaičius ligoninėse (be slaugos lovų),[1] S3R290_M3140105_2 — S3R290 - Lovų skaičius ligoninėse (be slaugos lovų),[1] S3R290_M3140105_3 — S3R290 - Lovų skaičius ligoninėse (be slaugos lovų)
MPM,Mokyklos plotas vienam mokiniui,Socialinis,,(no candidates — likely GIS-computed or no OSP source),,,,
MMA,Žmonių uždirbančių > MMA dalis,Socialinis,S3R542_M3120132,[1] S3R542_M3120132 — S3R542 - Užsienio kalbų mokėjimas,[1] S3R542_M3120131 — S3R542 - Užsienio kalbų mokėjimas,[1] S3R542_M3120133 — S3R542 - Užsienio kalbų mokėjimas,[1] S3R0469_M3120131_1 — S3R0469 - Užsienio kalbų mokėjimas,[1] S3R0469_M3120132_1 — S3R0469 - Užsienio kalbų mokėjimas
EIS,Įskaitinių eismo įvykių skaičius,Susisiekimas,S5R035_M7030103_1,"[1] S5R035_M7030103_1 — S5R035 - Kelių eismo įvykiai, kuriuose nukentėjo žmonės","[1] S5R035_M7030104_1 — S5R035 - Kelių eismo įvykiai, kuriuose nukentėjo žmonės","[1] S5R035_M7030105_1 — S5R035 - Kelių eismo įvykiai, kuriuose nukentėjo žmonės","[1] S5R035_M7030208_1 — S5R035 - Kelių eismo įvykiai, kuriuose nukentėjo žmonės","[1] S5R035_M7030322_1 — S5R035 - Kelių eismo įvykiai, kuriuose nukentėjo žmonės"
VTP,Viešojo transporto pasiekiamumas,Susisiekimas,,(no candidates — likely GIS-computed or no OSP source),,,,
KGP,Geležinkelių stočių pasiekiamumas,Susisiekimas,,(no candidates — likely GIS-computed or no OSP source),,,,
OUP,Oro uosto pasiekiamumas,Susisiekimas,,(no candidates — likely GIS-computed or no OSP source),,,,
KPD,Kelių su patobulinta danga %,Susisiekimas,,(no candidates — likely GIS-computed or no OSP source),,,,
GVT,Prieiga prie geriamojo vandens,Inžinerinė,,(no candidates — likely GIS-computed or no OSP source),,,,
VBN,Prisijungimas prie nuotekų tinklų,Inžinerinė,,(no candidates — likely GIS-computed or no OSP source),,,,
CTS,Centralizuotai tiekiama šiluma,Inžinerinė,,(no candidates — likely GIS-computed or no OSP source),,,,
NZP,Natūralių/pusiau natūralių ter.,kraštovaizdis,,(no candidates — likely GIS-computed or no OSP source),,,,
VTD,Geros būklės vandens telkiniai,aplinkosauga,,(no candidates — likely GIS-computed or no OSP source),,,,
OIT,Į orą išmetamų teršalų kiekis,aplinkosauga,S1R121_M9070335_1,"[1] S1R121_M9070335_1 — S1R121 - Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių","[1] S1R121_M9070335_2 — S1R121 - Teršalai, išmesti į aplinkos orą iš stacionarių taršos šaltinių",,,
EDD,Eroduojami dirvožemiai %,aplinkosauga,,(no candidates — likely GIS-computed or no OSP source),,,,
NDU,Vidutinis neto darbo užmokestis,Ekonominis,S3R297_M3060818,"[1] S3R297_M3060818 — S3R297 - Neto darbo užmokestis, pridėjus  socialines išmokas šeimai ir vaikams (",[1] SSSS2R002_MIS1991_37_1_1 — SSSS2R002 - Darbininkų ir tarnautojų vidutinis mėnesinis darbo užmokestis,[1] SSSS2R002_MIS1971_257_1_1 — SSSS2R002 - Darbininkų ir tarnautojų vidutinis mėnesinis darbo užmokestis,[1] SSSS2R002_MIS1981_150_3_1 — SSSS2R002 - Darbininkų ir tarnautojų vidutinis mėnesinis darbo užmokestis,[1] SSSS2R002_MIS1986_126_3_1 — SSSS2R002 - Darbininkų ir tarnautojų vidutinis mėnesinis darbo užmokestis
TUI,Tiesioginės užsienio investicijos gyv.,Ekonominis,S1R050_M8020422,[1] S1R050_M8020422 — S1R050 - Kuro ir energijos suvartojimas namų ūkiuose maistui gaminti,"[1] S3R023_M3100201 — S3R023 - Asmenys (šeimos), buvę sąrašuose socialiniam būstui nuomoti, metų pabai",[1] S7R102_M2030105 — S7R102 - Tiesioginės užsienio investicijos ketvirčio pabaigoje,[1] S7R102_M2030103 — S7R102 - Tiesioginės užsienio investicijos ketvirčio pabaigoje,[1] S7R102_M2030104_2 — S7R102 - Tiesioginės užsienio investicijos ketvirčio pabaigoje
MIG,Materialinės investicijos gyv.,Ekonominis,S8R279_M4040302_1,[1] S8R279_M4040302_1 — S8R279 - Materialinės investicijos to meto kainomis (iki 2004 m.),"[1] S8R290_M4040302_2 — S8R290 - Materialinės investicijos, tenkančios vienam gyventojui (iki 2004 m.)",[1] S8R304_M4040205 — S8R304 - Nematerialinės investicijos to meto kainomis,[1] S8R304_M4040107 — S8R304 - Nematerialinės investicijos to meto kainomis,
PVG,Pridėtinė vertė gyventojui,Ekonominis,S7R009_M2010124_2,[1] S7R009_M2010124_2 — S7R009 - Bendroji pridėtinė vertė gamybos metodu,[1] S7R009_M2010203_1 — S7R009 - Bendroji pridėtinė vertė gamybos metodu,[1] S7R009_M2010205_1 — S7R009 - Bendroji pridėtinė vertė gamybos metodu,[1] S7R009_M2010211_1 — S7R009 - Bendroji pridėtinė vertė gamybos metodu,[1] S7R009_M2010223_1 — S7R009 - Bendroji pridėtinė vertė gamybos metodu
UGD,Užimtų gyventojų dalis,Ekonominis. Urbanistinis,S3R532_M3031201,[1] S3R532_M3031201 — S3R532 - Užimti gyventojai,[1] S3R532_M3031004 — S3R532 - Užimti gyventojai,[1] S3R532_M3031012 — S3R532 - Užimti gyventojai,[1] S3R532_M3030213 — S3R532 - Užimti gyventojai,[1] S3R532_M3030212 — S3R532 - Užimti gyventojai
NM,Neto migracija,Ekonominis. Urbanistinis,SSSS5R007_MIS1991_18_1_1,"[1] SSSS5R007_MIS1991_18_1_1 — SSSS5R007 - Neto migracija (įregistruota ir išregistruota žmonių, pakeitusių nuo","[1] SSSS5R008_MIS1991_18_1_2 — SSSS5R008 - Neto migracija TSRS, nenurodant srities bei respublikos (kariuomenė,",[1] S3R847_M3020101 — S3R847 - Neto migracija,,
SLD,Statybos leidimai tūkst. gyv.,Ekonominis. Urbanistinis,,(no candidates — likely GIS-computed or no OSP source),,,,
DAG,Darbingo amžiaus dalis,Ekonominis. Urbanistinis,S3R079_M3140705,"[1] S3R079_M3140705 — S3R079 - Darbingo amžiaus asmenų, kuriems pirmą kartą nustatytas sumažėjęs dalyv","[1] S3R079_M3140706 — S3R079 - Darbingo amžiaus asmenų, kuriems pirmą kartą nustatytas sumažėjęs dalyv","[1] S3R079_M3140704 — S3R079 - Darbingo amžiaus asmenų, kuriems pirmą kartą nustatytas sumažėjęs dalyv","[1] S3R079_M3140703 — S3R079 - Darbingo amžiaus asmenų, kuriems pirmą kartą nustatytas sumažėjęs dalyv","[1] S3R079_M3140709_2 — S3R079 - Darbingo amžiaus asmenų, kuriems pirmą kartą nustatytas sumažėjęs dalyv"
PAG,Pensijinio amžiaus dalis,Ekonominis. Urbanistinis,,(no candidates — likely GIS-computed or no OSP source),,,,
USS,Ūkio subjektų skaičius / darb.amž.,Urbanistinis,S3R579_M3110801,[2] S3R579_M3110801 — S3R579 - Neformalaus suaugusiųjų švietimo ar vaikų ir jaunimo papildomas ugdymo ,[2] S8R523_M4010120 — S8R523 - Veikiantys ūkio subjektai metų pradžioje,[2] S8R523_M4010112 — S8R523 - Veikiantys ūkio subjektai metų pradžioje,[2] S8R523_M4010119 — S8R523 - Veikiantys ūkio subjektai metų pradžioje,[2] S8R523_M4010102 — S8R523 - Veikiantys ūkio subjektai metų pradžioje
GSM,Gyventojų skaičius miestuose,Urbanistinis,SSST502R007_MIS1981_9_2_4,[1] SSST502R007_MIS1981_9_2_4 — SSST502R007 - Miesto gyventojai,[1] SSST502R007_MIS1976_12_1_2 — SSST502R007 - Miesto gyventojai,,,
GSK,Gyventojų skaičius kaimuose,Urbanistinis,SSST502R005_MIS1981_9_2_3,[1] SSST502R005_MIS1981_9_2_3 — SSST502R005 - Kaimo gyventojai,[1] SSST502R005_MIS1976_12_1_1 — SSST502R005 - Kaimo gyventojai,,,
KGD,Kaimų be gyventojų dalis,Urbanistinis,,(no candidates — likely GIS-computed or no OSP source),,,,
M,Miškingumas,Ištekliai,S9R041_M5020101_5,[1] S9R041_M5020101_5 — S9R041 - Miškingumas,[1] S9R041_M5020103_2 — S9R041 - Miškingumas,"[1] S9R081_M5020102_2 — S9R081 - Valstybinių miškų plotas, kuriame vykdyti kirtimai",[1] TSTT1302R001_MIT1938_144_35_1 — TSTT1302R001 - Lietuvos miškų plotas,[1] SSST1504R010_MIS1991_118_1_3 — SSST1504R010 - Nudžiūvusių miškų plotas
ZNP,Žemės ūkio naudmenų plotas,Ištekliai,S9R047_M5010102,[1] S9R047_M5010102 — S9R047 - Naudojamos žemės ūkio naudmenos,[1] S9R048_M5010101 — S9R048 - Ne žemės ūkio naudmenos metų pradžioje,[1] S9R093_M5011006_1 — S9R093 - Naudojamų žemės ūkio naudmenų plotas,[1] S9R093_M5011007_2 — S9R093 - Naudojamų žemės ūkio naudmenų plotas,[1] S9R093_M5011030 — S9R093 - Naudojamų žemės ūkio naudmenų plotas
RIP,Rekreacinis išteklių potencialas,Ištekliai,,(no candidates — likely GIS-computed or no OSP source),,,,
NII,Išžvalgyti kietųjų iškasenų ištekliai,Ištekliai,S1R011_M8010201,[1] S1R011_M8010201 — S1R011 - Detaliai išžvalgytų naudingųjų iškasenų ištekliai metų pradžioje,[1] S1R102_M8020101 — S1R102 - Kuro ir energijos ištekliai,[1] S1R102_M8020102 — S1R102 - Kuro ir energijos ištekliai,[1] S1R110_M8020320_1 — S1R110 - Energijos srautų ištekliai,[1] S1R110_M8020320_2 — S1R110 - Energijos srautų ištekliai
INI,Išžvalgyti naftos ištekliai,Ištekliai,,(no candidates — likely GIS-computed or no OSP source),,,,
PVI,Ištirti požeminio vandens ištekliai,Ištekliai,,(no candidates — likely GIS-computed or no OSP source),,,,
KNI,Kietųjų iškasenų gavyba,Ištekliai,S1R059_M8010202,[1] S1R059_M8010202 — S1R059 - Naudingųjų iškasenų gavyba metų pradžioje,,,,
NG,Naftos gavyba,Ištekliai,,(no candidates — likely GIS-computed or no OSP source),,,,
PVA,Požeminio vandens gavyba,Ištekliai,,(no candidates — likely GIS-computed or no OSP source),,,,
STP,Saugomos sausumos teritorijos,Ekosistemų apsauga,,(no candidates — likely GIS-computed or no OSP source),,,,
KPO,Kultūros paveldo objektai 20 km²,Kultūros paveldas,S3R357_M3130118,[1] S3R357_M3130118 — S3R357 - Nekilnojamosios kultūros vertybės,[1] S3R357_M3130118_1 — S3R357 - Nekilnojamosios kultūros vertybės,[1] S3R357_M3130123 — S3R357 - Nekilnojamosios kultūros vertybės,[1] S3R357_M3130124 — S3R357 - Nekilnojamosios kultūros vertybės,[1] S3R357_M3130125 — S3R357 - Nekilnojamosios kultūros vertybės
