SAV,NL16,NL16SR,NL16RI,IBD16,IBD16SR,IBD16RI,LLS16,LLS16SR,LLS16RI,MPM16,MPM16SR,MPM16RI,EIS16,EIS16SR,EIS16RI,VTP16,VTP16SR,VTP16RI,KGP16,KGP16SR,KGP16RI,OUP16,OUP16SR,OUP16RI,GVT16,GVT16SR,GVT16RI,NZP16,NZP16SR,NZP16RI,VTD16,VTD16SR,VTD16RI,OIT16,OIT16SR,OIT16RI,VBN16,VBN16SR,VBN16RI,CTS16,CTS16SR,CTS16RI,NDU16,NDU16SR,NDU16RI,TUI16,TUI16SR,TUI16RI,MIG16,MIG16SR,MIG16RI,PVG16,PVG16SR,PVG16RI,UGD16,UGD16SR,UGD16RI,NM16,NM16SR,NM16RI,SLD16,SLD16SR,SLD16RI,DAG16,DAG16SR,DAG16RI,PAG16,PAG16SR,PAG16RI,USS16,USS16SR,USS16RI,GSM16,GSM16SR,GSM16RI,GSK16,GSK16SR,GSK16RI,KGD16,KGD16SR,KGD16RI,KPD16,KPD16SR,KPD16RI,M16,M16SR,M16RI,ZNP16,ZNP16SR,ZNP16RI,RIP16,RIP16SR,RIP16RI,STP16,STP16SR,STP16RI,KPO16,KPO16SR,KPO16RI,NII16,NII16SR,NII16SI,INI16,INI16SR,INI16RI,PVI16,PVI16SR,PVI16RI,KNI16,KNI16SR,KNI16RI,NG16,NG16SR,NG16RI,PVA16,PVA16SR,PVA16RI,MMA16,MMA16SR,MMA16RI,EDD16,EDD16SR,EDD16RI
Alytaus m. sav.,10.3,4.8,2,39.6,3.6,2,16.2,4.5,2,13.4,7.1,3,2.88,2.4,1,88.7,10.0,3,0%,0.0,1,1:04,7.7,3,98,9.8,3,49,3.5,2,0,0.0,1,502.23,7.7,3,99,9.9,3,36,6.2,2,545.0,4.0,2,1.5,2.4,1,1.1,2.6,1,4.6,4.4,2,50.2,8.3,3,-2.70%,0.6,1,4.6,3.4,2,63%,5.5,2,23%,5.7,2,5.1,6.4,2,-23.86,2.7,1,n,,,n,,,75,10.0,3,33,4.6,2,15,1.9,1,4.36,1.4,1,10,7.1,3,31.5,10.0,3,0.0,0.0,1,,,,14.3,2.0,1,0.0,0.0,1,,,,0.0,0.0,1,78.5,8.1,3,n,,
Alytaus r. sav.,13.1,2.2,1,49.1,2.0,1,85.6,7.6,3,19.1,7.2,3,0.78,8.2,3,39.7,6.2,2,0%,0.0,1,1:04,7.7,3,27,1.5,1,45,2.9,1,56,5.6,2,269.46,8.9,3,15,0.4,1,n,,,502.0,2.2,1,1.0,1.6,1,0.7,1.3,1,1.5,0.5,1,42.5,5.1,2,-0.10%,6.2,2,6.3,5.9,2,59%,1.8,1,27%,2.9,1,2.7,1.6,1,-28.21,1.3,1,-16,3.4,2,6.48,8.0,3,34,3.8,2,25,3.4,2,57,7.3,3,5.53,3.2,1,12,7.8,3,5.9,2.8,1,21.0,1.0,1,,,,14.3,2.0,1,202.0,2.3,1,,,,8.5,6.5,2,72.7,4.4,2,1.8,5.6,2
Druskininkų sav.,9.9,5.2,2,38.7,3.8,2,83.8,7.8,3,13,6.7,3,0.4,9.2,3,30.6,4.4,2,0%,0.0,1,1:39,6.1,2,86,8.4,3,81,7.7,3,45,4.5,2,452.43,8.0,3,82,8.0,3,32,5.5,2,497.0,2.0,1,1.9,3.0,1,1.1,2.6,1,4.1,3.8,2,47.1,7.0,3,-1.20%,3.8,2,6.1,5.6,2,61%,3.6,2,26%,3.6,2,5.2,6.6,2,-27.46,1.5,1,-0.5,6.2,2,10.94,6.6,2,35,4.0,2,69,10.0,3,18,2.3,1,7.92,6.7,3,7,6.1,2,5.9,2.8,1,5.0,0.2,1,,,,26.1,3.8,2,44.0,0.5,1,,,,4.0,3.1,1,75.8,6.4,2,2.3,4.2,2
Lazdijų r. sav.,15,0.4,1,60.2,0.0,1,54.5,8.9,3,15.6,9.3,3,0.84,8.0,3,25.6,3.4,2,5%,1.2,1,1:43,5.9,2,14,0.0,1,58,4.7,2,69,6.9,3,130.73,9.6,3,11,0.0,1,6,0.7,1,456.4,0.2,1,0.0,0.0,1,0.4,0.3,1,1.1,0.0,1,41.1,4.5,2,-1.70%,2.8,1,5.1,4.1,2,59%,1.8,1,27%,2.9,1,2.4,1.0,1,-20.89,3.7,2,-26,1.6,1,11.47,6.5,2,29,2.7,1,36,5.1,2,46,5.9,2,7.69,6.4,2,24,8.0,3,4.8,1.9,1,11.0,0.5,1,,,,1.0,0.0,1,105.0,1.2,1,,,,0.0,0.0,1,68,1.5,1,0.9,8.1,3
Varėnos r. sav.,10,5.1,2,27.8,5.7,2,60.7,9.6,3,19.4,6.9,3,1.23,6.9,3,23.2,3.0,1,19%,4.5,2,1:07,7.5,3,83,8.0,3,79,7.5,3,76,7.6,3,424.79,8.1,3,65,6.1,2,20,3.3,1,495.7,1.9,1,0.1,0.2,1,0.6,1.0,1,1.9,1.0,1,40.0,4.0,2,-1.50%,3.2,1,4.4,3.1,1,59%,1.8,1,28%,2.1,1,2.9,2.0,1,-19.07,4.3,2,-29.9,0.9,1,13.98,5.7,2,30,2.9,1,69,10.0,3,21,2.7,1,5.69,3.4,2,35,4.2,2,4,1.3,1,219.0,10.0,3,,,,12.6,1.7,1,103.0,1.2,1,,,,2.9,2.2,1,71.9,3.9,2,0.9,8.1,3
Birštono sav.,5.6,9.2,3,57,0.6,1,,,,12.6,6.3,2,0.12,10.0,3,48.2,7.8,3,0%,0.0,1,0:55,8.1,3,68,6.3,2,62,5.2,2,0,0.0,1,90.56,9.8,3,63,5.8,2,22,3.6,2,496.0,1.9,1,0.1,0.2,1,1.6,4.2,2,2.6,1.9,1,39.3,3.8,2,-1.60%,3.0,1,12.5,10.0,3,60%,2.7,1,27%,2.9,1,4.1,4.4,2,-23.75,2.7,1,-15,3.6,2,12.24,6.2,2,46,6.4,2,47,6.7,3,36,4.6,2,7.26,5.8,2,82,0.0,1,9.2,5.4,2,0.0,0.0,1,,,,12.0,1.7,1,2.0,0.0,1,,,,0.9,0.7,1,73.6,5.0,2,6.6,0.0,1
Jonavos r. sav.,9.4,5.7,2,30.8,5.2,2,41.8,7.4,3,15,8.7,3,1,7.6,3,32.9,4.9,2,9%,2.1,1,1:16,7.1,3,88,8.6,3,52,3.9,2,28,2.8,1,3002.81,0.0,1,82,8.0,3,32,5.5,2,605.0,6.6,2,0.2,0.3,1,1.6,4.2,2,5.4,5.4,2,42.1,4.9,2,-1.00%,4.3,2,4.9,3.8,2,61%,3.6,2,22%,6.4,2,3,2.2,1,-18.27,4.6,2,-16,3.4,2,23.05,2.9,1,31,3.1,1,42,6.0,2,46,5.9,2,3.85,0.7,1,4,5.0,2,5.5,2.5,1,112.0,5.1,2,,,,27.8,4.0,2,1039.0,10.0,3,,,,4.8,3.7,2,78,7.8,3,1.5,6.4,2
Kaišiadorių r. sav.,7,7.9,3,41.1,3.4,2,42.5,7.5,3,15.2,8.9,3,1.25,6.9,3,14.6,1.3,1,30%,7.1,3,0:30,9.2,3,95,9.4,3,49,3.5,2,24,2.4,1,489.32,7.8,3,82,8.0,3,16,2.5,1,533.0,3.5,2,0.1,0.2,1,0.8,1.6,1,2.4,1.6,1,48.0,7.4,3,-1.20%,3.8,2,4.6,3.4,2,64%,6.4,2,22%,6.4,2,2.9,2.0,1,-17.7,4.8,2,-16,3.4,2,19.64,4.0,2,32,3.3,2,33,4.6,2,52,6.7,3,4.49,1.6,1,14,8.5,3,5.7,2.6,1,51.0,2.3,1,,,,26.8,3.9,2,104.0,1.2,1,,,,3.7,2.8,1,74.9,5.8,2,2.6,3.3,2
Kauno m. sav.,6.7,8.2,3,21.6,6.8,3,152,0.0,1,11.9,5.6,2,1.74,5.5,2,92.4,10.0,3,98%,10.0,3,0:21,9.6,3,92,9.1,3,40,2.3,1,10,1.0,1,5369.12,0.0,1,89,8.8,3,40,6.9,3,607.0,6.7,3,4.0,6.3,2,2.1,5.8,2,7.4,8.0,3,50.6,8.5,3,-1.40%,3.4,2,9.1,10.0,3,61%,3.6,2,24%,5.0,2,7.5,10.0,3,-21.4,3.5,2,n,,,n,,,62,10.0,3,18,2.4,1,13,1.7,1,7.22,5.7,2,13,8.1,3,189.5,10.0,3,0.0,0.0,1,,,,301.7,10.0,3,0.0,0.0,1,,,,61.0,10.0,3,77,7.1,3,n,,
Kauno r. sav.,6.3,8.6,3,23.8,6.4,2,17.8,4.7,2,13.5,7.2,3,0.9,7.8,3,42.1,6.7,2,18%,4.3,2,0:21,9.6,3,62,5.6,2,45,2.9,1,15,1.5,1,452.68,8.0,3,52,4.6,2,2,0.0,1,568.0,5.0,2,1.5,2.4,1,1.8,4.8,2,4.0,3.7,2,45.5,6.3,2,1.70%,10.0,3,16.9,10.0,3,64%,6.4,2,19%,8.6,3,4.4,5.0,2,-25.95,2.0,1,20.6,10.0,3,7.34,7.7,3,40,5.1,2,33,4.6,2,51,6.5,2,6.2,4.2,2,15,8.8,3,5.1,2.2,1,146.0,6.7,3,,,,16.5,2.3,1,1219.0,10.0,3,,,,2.7,2.1,1,76.4,6.8,3,2.1,4.7,2
Kėdainių r. sav.,7.5,7.5,3,23,6.5,2,52.6,8.7,3,14.9,8.6,3,0.72,8.3,3,31.3,4.5,2,12%,2.9,1,0:46,8.5,3,73,6.9,3,33,1.3,1,0,0.0,1,2035.44,0.1,1,65,6.1,2,23,3.8,2,604.0,6.5,2,2.9,4.6,2,1.5,3.9,2,5.7,5.8,2,44.0,5.7,2,-1.80%,2.6,1,5,4.0,2,60%,2.7,1,25%,4.3,2,3.7,3.6,2,-22.22,3.3,1,-28,1.3,1,32.36,0.1,1,34,3.8,2,25,3.4,2,65,8.3,3,3.86,0.7,1,11,7.4,3,7.3,3.9,2,15.0,0.7,1,,,,38.7,5.6,2,53.0,0.6,1,,,,6.2,4.8,2,68.5,1.8,1,0.5,9.2,3
Prienų r. sav.,6.8,8.1,3,32,5.0,2,53.1,8.7,3,17,9.3,3,0.77,8.2,3,35.6,5.4,2,8%,1.9,1,0:45,8.5,3,46,3.7,2,41,2.4,1,36,3.6,2,128.14,9.6,3,33,2.5,1,9,1.3,1,478.0,1.2,1,0.0,0.0,1,0.5,0.6,1,1.9,1.0,1,42.3,5.0,2,-1.10%,4.0,2,4.4,3.1,1,60%,2.7,1,26%,3.6,2,2.8,1.8,1,-20.15,3.9,2,-24,2.0,1,11.6,6.4,2,26,2.0,1,28,3.9,2,58,7.4,3,4.5,1.6,1,15,8.8,3,5.7,2.6,1,29.0,1.3,1,,,,9.7,1.3,1,329.0,3.7,2,,,,1.4,1.1,1,71.3,3.6,2,2.3,4.2,2
Raseinių r. sav.,9,6.0,2,25.6,6.1,2,54.4,8.9,3,14.9,8.6,3,1.86,5.2,2,28.1,3.9,2,0%,0.0,1,1:02,7.8,3,68,6.3,2,33,1.3,1,58,5.8,2,279.69,8.8,3,45,3.8,2,9,1.3,1,491.0,1.7,1,0.7,1.1,1,0.9,1.9,1,2.9,2.3,1,43.7,5.6,2,-1.50%,3.2,1,4.4,3.1,1,60%,2.7,1,25%,4.3,2,3,2.2,1,-16.92,5.0,2,-25,1.8,1,19.61,4.0,2,31,3.1,1,24,3.3,1,67,8.6,3,4.2,1.2,1,11,7.4,3,4.4,1.6,1,15.0,0.7,1,,,,11.8,1.6,1,75.0,0.9,1,,,,2.9,2.2,1,68.4,1.8,1,3.2,1.7,1
Klaipėdos m. sav.,6.4,8.5,3,12.8,8.3,3,170,0.0,1,11.0,4.6,2,1.5,6.2,2,84.1,10.0,3,93%,10.0,3,0:29,9.2,3,91,9.0,3,55,4.3,2,33,3.3,1,2959.69,0.0,1,87,8.5,3,31,5.3,2,633.6,7.8,3,5.5,8.7,3,3.4,10.0,3,9.0,10.0,3,49.8,8.1,3,-1.80%,2.6,1,3.8,2.2,1,61%,3.6,2,22%,6.4,2,6.9,10.0,3,-20.02,4.0,2,n,,,n,,,84,10.0,3,20,2.7,1,18,2.3,1,8.06,6.9,3,10,7.1,3,88.6,10.0,3,0.0,0.0,1,n,,,124.1,10.0,3,0.0,0.0,1,n,,,28.8,10.0,3,78,7.8,3,n,,
Klaipėdos r. sav.,6,8.9,3,3.3,10.0,3,29.1,6.0,2,12.4,6.1,2,1.4,6.5,2,37.6,5.8,2,11%,2.6,1,0:36,8.9,3,91,9.0,3,47,3.2,1,70,7.0,3,1189.26,4.3,2,87,8.5,3,31,5.3,2,555.0,4.4,2,3.5,5.6,2,4.6,10.0,3,5.1,5.1,2,46.0,6.5,2,2.20%,10.0,3,22.7,10.0,3,64%,6.4,2,18%,9.3,3,4.6,5.4,2,-4.89,9.0,3,27.6,10.0,3,4.03,8.8,3,37,4.4,2,26,3.6,2,52,6.7,3,8.84,8.1,3,20,9.4,3,10.9,6.8,3,105.0,4.8,2,14.5,10.0,3,15.1,2.1,1,1068.0,10.0,3,28.0,10.0,3,4.3,3.3,1,76.2,6.6,2,1.5,6.4,2
Kretingos r. sav.,4.9,9.9,3,12.8,8.3,3,50.6,8.4,3,13.3,7.0,3,1.1,7.3,3,34.2,5.1,2,17%,4.0,2,0:18,9.7,3,27,1.5,1,44,2.8,1,57,5.7,2,130.04,9.6,3,23,1.3,1,n,,,489.0,1.6,1,0.3,0.5,1,1.0,2.3,1,2.5,1.8,1,54.2,10.0,3,-1.00%,4.3,2,7.9,8.2,3,61%,3.6,2,22%,6.4,2,3.8,3.8,2,-15.32,5.5,2,-13,4.0,2,13.54,5.8,2,31,3.1,1,35,4.9,2,56,7.2,3,4.87,2.2,1,15,8.8,3,14.9,10.0,3,5.0,0.2,1,9.2,6.3,2,13.9,1.9,1,60.0,0.7,1,27.0,9.6,3,3.3,2.5,1,72,4.0,2,1.8,5.6,2
Neringos sav.,5.3,9.5,3,48,2.1,1,32.3,6.4,2,34.5,0.0,1,1.0,7.6,3,23.3,3.0,1,4%,1.0,1,1:33,6.4,2,97,9.7,3,98,10.0,3,-,10.0,3,53.88,10.0,3,99,9.9,3,n,,,506.0,2.4,1,2.8,4.4,2,2.0,5.5,2,6.7,7.1,3,72.8,10.0,3,2.20%,10.0,3,24.8,10.0,3,68%,10.0,3,17%,10.0,3,11,10.0,3,26.57,10.0,3,n,,,n,,,95,10.0,3,83,10.0,3,0,0.0,1,10.11,10.0,3,100,0.0,1,48,10.0,3,0.0,0.0,1,,,,3.7,0.4,1,0.0,0.0,1,,,,0.2,0.2,1,74,5.3,2,n,,
Palangos m. sav.,8,7.0,3,16.4,7.7,3,204,0.0,1,15.2,8.9,3,1.5,6.2,2,59.2,10.0,3,0%,0.0,1,0:11,10.0,3,96,9.5,3,67,5.9,2,23,2.3,1,272.52,8.9,3,95,9.4,3,n,,,467.0,0.7,1,2.3,3.7,2,2.2,6.1,2,4.9,4.8,2,45.7,6.4,2,-0.20%,6.0,2,28.4,10.0,3,60%,2.7,1,26%,3.6,2,7.6,10.0,3,-11.81,6.7,3,n,,,n,,,43,5.8,2,39,5.5,2,32,4.1,2,9.02,8.4,3,5,5.4,2,32.1,10.0,3,3.0,0.1,1,1.3,0.7,1,36.5,5.3,2,24.0,0.3,1,7.0,2.5,1,4.5,3.5,2,71.9,3.9,2,n,,
Skuodo r. sav.,8,7.0,3,46.7,2.4,1,13.1,4.2,2,16.6,9.7,3,0.6,8.7,3,33.3,4.9,2,0%,0.0,1,0:46,8.5,3,59,5.2,2,29,0.8,1,67,6.7,3,97.04,9.7,3,42,3.5,2,10,1.5,1,465.0,0.6,1,0.2,0.3,1,0.3,0.0,1,1.2,0.1,1,49.8,8.1,3,-2.20%,1.7,1,3.4,1.6,1,60%,2.7,1,26%,3.6,2,2.6,1.4,1,-26.44,1.8,1,-31,0.7,1,5.78,8.2,3,28,2.4,1,42,6.0,2,71,9.1,3,4.01,0.9,1,39,2.8,1,5,2.1,1,1.0,0.0,1,,,,2.3,0.2,1,16.0,0.2,1,,,,0.0,0.0,1,66.5,0.6,1,0.8,8.3,3
Šilutės r. sav.,12.2,3.0,1,23,6.5,2,86.5,7.5,3,14.8,8.5,3,0.9,7.8,3,19.5,2.2,1,0%,0.0,1,1:06,7.6,3,70,6.5,2,52,3.9,2,59,5.9,2,394.02,8.3,3,58,5.3,2,10,1.5,1,487.0,1.5,1,0.9,1.4,1,0.7,1.3,1,2.6,1.9,1,34.3,1.7,1,-2.40%,1.3,1,5.3,4.4,2,62%,4.5,2,22%,6.4,2,3.7,3.6,2,-23.07,3.0,1,-27,1.4,1,5.05,8.5,3,22,1.1,1,11,1.3,1,49,6.3,2,8.53,7.6,3,10,7.1,3,5.7,2.6,1,111.0,5.1,2,0.3,0.0,1,15.0,2.1,1,415.0,4.7,2,15.0,5.4,2,3.9,3.0,1,70.7,3.2,1,0.6,8.9,3
Kalvarijos sav.,14.6,0.8,1,34.5,4.5,2,36.1,6.8,3,11.5,5.1,2,0.63,8.6,3,25.8,3.5,2,1%,0.2,1,1:16,7.1,3,n,,,29,0.8,1,65,6.5,2,185.19,9.3,3,n,,,n,,,455.0,0.2,1,0.0,0.0,1,0.6,1.0,1,1.5,0.5,1,37.1,2.8,1,-1.80%,2.6,1,4,2.5,1,61%,3.6,2,21%,7.1,3,1.9,0.0,1,-16.99,5.0,2,-19,2.9,1,11.38,6.5,2,29,2.7,1,14,1.8,1,73,9.4,3,3.91,0.8,1,47,0.0,1,5.2,2.2,1,36.0,1.6,1,,,,1.8,0.1,1,111.0,1.3,1,,,,0.9,0.7,1,72.3,4.2,2,1.3,6.9,3
Kazlų Rūdos sav.,11.4,3.8,2,37.9,3.9,2,33,6.4,2,26.2,0.0,1,0.9,7.8,3,14.0,1.2,1,38%,9.0,3,0:49,8.3,3,63,5.7,2,69,6.1,2,62,6.2,2,729.74,6.6,2,65,6.1,2,16,2.5,1,573.0,5.2,2,7.4,10.0,3,1.1,2.6,1,4.9,4.8,2,42.0,4.9,2,-1.70%,2.8,1,5.3,4.4,2,60%,2.7,1,23%,5.7,2,3.3,2.8,1,-16.81,5.0,2,-17,3.2,1,12.22,6.3,2,23,1.3,1,60,8.7,3,30,3.8,2,4.93,2.3,1,4,5.0,2,2.4,0.0,1,2.0,0.1,1,,,,1.9,0.1,1,0.0,0.0,1,,,,1.5,1.2,1,74.7,5.7,2,2.1,4.7,2
Marijampolės sav.,8,7.0,3,27.9,5.7,2,73.7,8.9,3,12.8,6.5,2,0.8,8.1,3,36.2,5.5,2,27%,6.4,2,1:02,7.8,3,87,8.5,3,24,0.1,1,52,5.2,2,931.34,5.6,2,79,7.6,3,22,3.6,2,518.0,2.9,1,0.4,0.6,1,1.9,5.2,2,4.0,3.7,2,,10.0,3,-2.10%,1.9,1,5.6,4.9,2,63%,5.5,2,21%,7.1,3,4.3,4.8,2,-22.76,3.1,1,-12,4.1,2,13.12,6.0,2,35,4.0,2,15,1.9,1,71,9.1,3,4.42,1.5,1,15,8.8,3,8,4.5,2,0.0,0.0,1,,,,30.1,4.4,2,0.0,0.0,1,,,,5.0,3.8,2,76.1,6.6,2,0.4,9.4,3
Šakių r. sav.,9.6,5.5,2,53.8,1.1,1,43.2,7.6,3,16.7,9.6,3,0.82,8.1,3,8.1,0.0,1,2%,0.5,1,1:03,7.7,3,71,6.6,2,30,0.9,1,7,0.7,1,222.63,9.1,3,43,3.6,2,6,0.7,1,487.0,1.5,1,0.5,0.8,1,0.9,1.9,1,1.5,0.5,1,39.1,3.7,2,-1.70%,2.8,1,3.3,1.5,1,61%,3.6,2,24%,5.0,2,2.7,1.6,1,-18.2,4.6,2,-25,1.8,1,15.94,5.1,2,30,2.9,1,23,3.1,1,68,8.7,3,4.39,1.5,1,5,5.4,2,4.8,1.9,1,25.0,1.1,1,,,,15.3,2.1,1,0.0,0.0,1,,,,3.6,2.8,1,73.4,4.9,2,1.6,6.1,2
Vilkaviškio r. sav.,10,5.1,2,38.7,3.8,2,46.2,7.9,3,15,8.7,3,0.55,8.8,3,31.4,4.6,2,23%,5.5,2,1:19,7.0,3,66,6.0,2,23,0.0,1,35,3.5,2,190.33,9.3,3,49,4.3,2,10,1.5,1,466.1,0.6,1,0.1,0.2,1,0.5,0.6,1,1.5,0.5,1,37.3,2.9,1,-2.30%,1.5,1,4,2.5,1,60%,2.7,1,24%,5.0,2,2.2,0.6,1,-22.09,3.3,1,-24,2.0,1,18.21,4.4,2,34,3.8,2,11,1.3,1,78,10.0,3,4.29,1.3,1,9,6.8,3,7,3.7,2,21.0,1.0,1,,,,28.5,4.1,2,182.0,2.1,1,,,,3.0,2.3,1,68.9,2.1,1,1.2,7.2,3
Biržų r. sav.,8.9,6.1,2,37.8,3.9,2,59.2,9.4,3,22.3,3.9,2,3.73,0.0,1,34.5,5.2,2,0%,0.0,1,2:21,4.3,2,35,2.4,1,36,1.7,1,32,3.2,1,225.97,9.1,3,40,3.3,1,10,1.5,1,490.8,1.7,1,0.5,0.8,1,0.5,0.6,1,1.8,0.9,1,45.2,6.2,2,-1.90%,2.3,1,4.8,3.7,2,59%,1.8,1,28%,2.1,1,2.8,1.8,1,-26.04,2.0,1,-30.2,0.9,1,31.36,0.4,1,24,1.6,1,27,3.7,2,63,8.1,3,4.46,1.6,1,22,8.7,3,5.6,2.6,1,20.0,0.9,1,,,,21.7,3.1,1,125.0,1.4,1,,,,2.9,2.2,1,70.7,3.2,1,0.4,9.4,3
Kupiškio r. sav.,12.4,2.8,1,34.1,4.6,2,45.3,7.8,3,20.3,6.0,2,1,7.6,3,34.2,5.1,2,7%,1.7,1,2:00,5.2,2,72,6.7,3,41,2.4,1,29,2.9,1,322.89,8.6,3,61,5.6,2,19,3.1,1,465.0,0.6,1,0.2,0.3,1,0.5,0.6,1,1.9,1.0,1,36.2,2.5,1,-2.00%,2.1,1,3.6,1.9,1,59%,1.8,1,27%,2.9,1,2.7,1.6,1,-22.04,3.3,1,-29,1.1,1,25.89,2.1,1,28,2.4,1,30,4.2,2,58,7.4,3,4.4,1.5,1,10,7.1,3,6.9,3.6,2,54.0,2.5,1,,,,9.0,1.2,1,293.0,3.3,2,,,,1.2,0.9,1,71.1,3.4,2,0.7,8.6,3
Panevėžio m. sav.,7.4,7.5,3,30.7,5.2,2,18.7,4.8,2,11.9,5.6,2,1.54,6.1,2,92.0,10.0,3,100%,10.0,3,1:28,6.6,2,97,9.7,3,27,0.5,1,8,0.8,1,2049.04,0.0,1,97,9.7,3,32,5.5,2,566.0,4.9,2,2.8,4.4,2,1.4,3.5,2,5.6,5.7,2,51.0,8.6,3,-2.30%,1.5,1,4.5,3.2,1,61%,3.6,2,24%,5.0,2,6.1,8.4,3,-21.84,3.4,2,n,,,n,,,60,9.6,3,2,0.0,1,30,3.8,2,3.4,0.0,1,1,4.0,2,91.2,10.0,3,0.0,0.0,1,,,,67.9,10.0,3,0.0,0.0,1,,,,18.5,10.0,3,77.7,7.6,3,n,,
Panevėžio r. sav.,8.6,6.4,2,33.7,4.7,2,131,2.4,1,20,6.3,2,1.53,6.1,2,28.9,4.1,2,16%,3.8,2,1:28,6.6,2,97,9.7,3,42,2.5,1,4,0.4,1,322.6,8.6,3,97,9.7,3,n,,,496.0,1.9,1,1.2,1.9,1,0.8,1.6,1,2.8,2.2,1,45.0,6.1,2,-0.20%,6.0,2,7.3,7.4,3,62%,4.5,2,23%,5.7,2,3.7,3.6,2,-15.06,5.6,2,-14,3.8,2,24.19,2.6,1,30,2.9,1,35,4.9,2,56,7.2,3,4.62,1.8,1,20,9.4,3,3.9,1.2,1,9.0,0.4,1,,,,47.7,7.0,3,248.0,2.8,1,,,,2.4,1.8,1,75.6,6.3,2,0.2,10.0,3
